Average Retail Price of Electricity Residential Monthly
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESRCUUS.M
00:17:12 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESRCUUS.M Cents per Kilowatthour  Including Taxes
Nov 1992,8.14
Oct 1992,8.44
Sep 1992,8.59
Aug 1992,8.56
Jul 1992,8.54
Jun 1992,8.61
May 1992,8.38
Apr 1992,8.03
Mar 1992,8.01
Feb 1992,7.78
Jan 1992,7.7
Dec 1991,7.81
Nov 1991,7.95
Oct 1991,8.32
Sep 1991,8.37
Aug 1991,8.41
Jul 1991,8.38
Jun 1991,8.32
May 1991,8.14
Apr 1991,7.98
Mar 1991,7.79
Feb 1991,7.61
Jan 1991,7.41
Dec 1990,7.61
Nov 1990,7.8
Oct 1990,8.04
Sep 1990,8.15
Aug 1990,8.24
Jul 1990,8.18
Jun 1990,8.1
May 1990,7.96
Apr 1990,7.69
Mar 1990,7.57
Feb 1990,7.48
Jan 1990,7.17
Dec 1989,
Nov 1989,
Oct 1989,
Sep 1989,
Aug 1989,
Jul 1989,
Jun 1989,
May 1989,
Apr 1989,
Mar 1989,
Feb 1989,
Jan 1989,
Dec 1988,
Nov 1988,
Oct 1988,
Sep 1988,
Aug 1988,
Jul 1988,
Jun 1988,
May 1988,
Apr 1988,
Mar 1988,
Feb 1988,
Jan 1988,
Dec 1987,
Nov 1987,
Oct 1987,
Sep 1987,
Aug 1987,
Jul 1987,
Jun 1987,
May 1987,
Apr 1987,
Mar 1987,
Feb 1987,
Jan 1987,
Dec 1986,
Nov 1986,
Oct 1986,
Sep 1986,
Aug 1986,
Jul 1986,
Jun 1986,
May 1986,
Apr 1986,
Mar 1986,
Feb 1986,
Jan 1986,
Dec 1985,
Nov 1985,
Oct 1985,
Sep 1985,
Aug 1985,
Jul 1985,
Jun 1985,
May 1985,
Apr 1985,
Mar 1985,
Feb 1985,
Jan 1985,
Dec 1984,
Nov 1984,
Oct 1984,
Sep 1984,
Aug 1984,
Jul 1984,
Jun 1984,
May 1984,
Apr 1984,
Mar 1984,
Feb 1984,
Jan 1984,
Dec 1983,7
Nov 1983,7.3
Oct 1983,7.5
Sep 1983,7.6
Aug 1983,7.5
Jul 1983,7.5
Jun 1983,7.4
May 1983,7.2
Apr 1983,6.9
Mar 1983,6.9
Feb 1983,6.7
Jan 1983,6.7
Dec 1982,6.7
Nov 1982,6.9
Oct 1982,7.2
Sep 1982,7.2
Aug 1982,7.2
Jul 1982,7.2
Jun 1982,7.1
May 1982,6.9
Apr 1982,6.7
Mar 1982,6.6
Feb 1982,6.4
Jan 1982,6.2
Dec 1981,6.3
Nov 1981,6.4
Oct 1981,6.6
Sep 1981,6.6
Aug 1981,6.6
Jul 1981,6.6
Jun 1981,6.5
May 1981,6.3
Apr 1981,6
Mar 1981,5.8
Feb 1981,5.5
Jan 1981,5.4
Dec 1980,5.5
Nov 1980,5.6
Oct 1980,5.7
Sep 1980,5.7
Aug 1980,5.7
Jul 1980,5.7
Jun 1980,5.6
May 1980,5.4
Apr 1980,5.1
Mar 1980,4.9
Feb 1980,4.7
Jan 1980,4.7
Dec 1979,4.7
Nov 1979,4.8
Oct 1979,5
Sep 1979,5
Aug 1979,4.9
Jul 1979,4.9
Jun 1979,4.9
May 1979,4.7
Apr 1979,4.5
Mar 1979,4.3
Feb 1979,4.1
Jan 1979,4.1
Dec 1978,4.2
Nov 1978,4.4
Oct 1978,4.5
Sep 1978,4.5
Aug 1978,4.5
Jul 1978,4.5
Jun 1978,4.5
May 1978,4.5
Apr 1978,4.3
Mar 1978,4.1
Feb 1978,3.9
Jan 1978,3.9
Dec 1977,4
Nov 1977,4.2
Oct 1977,4.3
Sep 1977,4.3
Aug 1977,4.4
Jul 1977,4.2
Jun 1977,4.2
May 1977,4.2
Apr 1977,4.1
Mar 1977,4
Feb 1977,3.7
Jan 1977,3.6
Dec 1976,3.6
Nov 1976,3.8
Oct 1976,3.9
Sep 1976,3.8
Aug 1976,3.7
Jul 1976,3.9
Jun 1976,
May 1976,
Apr 1976,
Mar 1976,
Feb 1976,
Jan 1976,
