Average Retail Price of Electricity Commercial Monthly
https://www.eia.gov/opendata/qb.php?category=711299&sdid=TOTAL.ESCMUUS.M
00:16:56 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.ESCMUUS.M Cents per Kilowatthour  Including Taxes
Jul 2005,9
Jun 2005,8.89
May 2005,8.41
Apr 2005,8.25
Mar 2005,8.15
Feb 2005,8.19
Jan 2005,7.99
Dec 2004,7.82
Nov 2004,8.04
Oct 2004,8.23
Sep 2004,8.54
Aug 2004,8.7
Jul 2004,8.63
Jun 2004,8.49
May 2004,7.99
Apr 2004,7.89
Mar 2004,7.92
Feb 2004,7.85
Jan 2004,7.7
Dec 2003,7.7
Nov 2003,7.85
Oct 2003,8.09
Sep 2003,8.15
Aug 2003,8.46
Jul 2003,8.55
Jun 2003,8.44
May 2003,8.06
Apr 2003,7.93
Mar 2003,7.78
Feb 2003,7.65
Jan 2003,7.45
Dec 2002,7.59
Nov 2002,7.64
Oct 2002,8
Sep 2002,8
Aug 2002,8.24
Jul 2002,8.33
Jun 2002,8.18
May 2002,7.84
Apr 2002,7.68
Mar 2002,7.72
Feb 2002,7.68
Jan 2002,7.49
Dec 2001,7.66
Nov 2001,7.73
Oct 2001,8.27
Sep 2001,8.22
Aug 2001,8.35
Jul 2001,8.41
Jun 2001,8.13
May 2001,7.77
Apr 2001,7.73
Mar 2001,7.7
Feb 2001,7.51
Jan 2001,7.25
Dec 2000,7.52
Nov 2000,7.34
Oct 2000,7.67
Sep 2000,7.73
Aug 2000,7.93
Jul 2000,7.76
Jun 2000,7.7
May 2000,7.25
Apr 2000,7.05
Mar 2000,7.03
Feb 2000,6.96
Jan 2000,6.93
Dec 1999,6.88
Nov 1999,7.13
Oct 1999,7.41
Sep 1999,7.45
Aug 1999,7.49
Jul 1999,7.56
Jun 1999,7.42
May 1999,7.21
Apr 1999,7.08
Mar 1999,7.15
Feb 1999,7.18
Jan 1999,6.99
Dec 1998,7.11
Nov 1998,7.11
Oct 1998,7.44
Sep 1998,7.55
Aug 1998,7.67
Jul 1998,7.69
Jun 1998,7.61
May 1998,7.45
Apr 1998,7.31
Mar 1998,7.28
Feb 1998,7.29
Jan 1998,7.22
Dec 1997,7.24
Nov 1997,7.43
Oct 1997,7.66
Sep 1997,7.86
Aug 1997,7.91
Jul 1997,7.86
Jun 1997,7.88
May 1997,7.58
Apr 1997,7.4
Mar 1997,7.44
Feb 1997,7.38
Jan 1997,7.27
Dec 1996,7.29
Nov 1996,7.52
Oct 1996,7.84
Sep 1996,7.96
Aug 1996,7.99
Jul 1996,7.95
Jun 1996,7.72
May 1996,7.62
Apr 1996,7.48
Mar 1996,7.46
Feb 1996,7.39
Jan 1996,7.31
Dec 1995,7.36
Nov 1995,7.6
Oct 1995,7.85
Sep 1995,7.84
Aug 1995,7.95
Jul 1995,8.06
Jun 1995,7.95
May 1995,7.64
Apr 1995,7.5
Mar 1995,7.53
Feb 1995,7.49
Jan 1995,7.33
Dec 1994,7.37
Nov 1994,7.51
Oct 1994,7.92
Sep 1994,8.17
Aug 1994,8.08
Jul 1994,8.05
Jun 1994,7.97
May 1994,7.68
Apr 1994,7.45
Mar 1994,7.46
Feb 1994,7.48
Jan 1994,7.36
Dec 1993,7.42
Nov 1993,7.71
Oct 1993,8.1
Sep 1993,8.07
Aug 1993,8.01
Jul 1993,8.02
Jun 1993,8
May 1993,7.75
Apr 1993,7.49
Mar 1993,7.43
Feb 1993,7.38
Jan 1993,7.32
Dec 1992,7.41
Nov 1992,7.54
Oct 1992,7.9
Sep 1992,7.99
Aug 1992,7.95
Jul 1992,7.94
