Average Natural Gas Price Delivered to Consumers Residential Monthly
https://www.eia.gov/opendata/qb.php?category=711301&sdid=TOTAL.NGRCUUS.M
00:21:49 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.NGRCUUS.M Dollars per Thousand Cubic Feet
Aug 1995,8.13
Jul 1995,7.82
Jun 1995,7.49
May 1995,6.54
Apr 1995,6.06
Mar 1995,5.84
Feb 1995,5.76
Jan 1995,5.85
Dec 1994,6.06
Nov 1994,6.27
Oct 1994,6.86
Sep 1994,7.84
Aug 1994,8.22
Jul 1994,8.1
Jun 1994,7.66
May 1994,6.84
Apr 1994,6.6
Mar 1994,6.3
Feb 1994,6.04
Jan 1994,5.93
Dec 1993,6.07
Nov 1993,6.17
Oct 1993,6.79
Sep 1993,7.75
Aug 1993,8.13
Jul 1993,7.86
Jun 1993,7.37
May 1993,6.78
Apr 1993,6.02
Mar 1993,5.67
Feb 1993,5.73
Jan 1993,5.73
Dec 1992,5.74
Nov 1992,6.02
Oct 1992,6.52
Sep 1992,7.15
Aug 1992,7.45
Jul 1992,7.27
Jun 1992,6.84
May 1992,6.15
Apr 1992,5.62
Mar 1992,5.5
Feb 1992,5.54
Jan 1992,5.53
Dec 1991,5.51
Nov 1991,5.51
Oct 1991,6.2
Sep 1991,6.92
Aug 1991,7.36
Jul 1991,7.23
Jun 1991,6.97
May 1991,6.28
Apr 1991,5.9
Mar 1991,5.6
Feb 1991,5.56
Jan 1991,5.54
Dec 1990,5.62
Nov 1990,5.69
Oct 1990,6.14
Sep 1990,6.9
Aug 1990,7.08
Jul 1990,7.04
Jun 1990,6.56
May 1990,6
Apr 1990,5.64
Mar 1990,5.6
Feb 1990,5.65
Jan 1990,5.43
Dec 1989,5.3
Nov 1989,5.56
Oct 1989,6.06
Sep 1989,6.8
Aug 1989,7.07
Jul 1989,6.92
Jun 1989,6.58
May 1989,5.93
Apr 1989,5.54
Mar 1989,5.45
Feb 1989,5.38
Jan 1989,5.41
Dec 1988,5.39
Nov 1988,5.56
Oct 1988,5.95
Sep 1988,6.79
Aug 1988,6.92
Jul 1988,6.74
Jun 1988,6.5
May 1988,5.87
Apr 1988,5.35
Mar 1988,5.18
Feb 1988,5.09
Jan 1988,5.08
Dec 1987,5.13
Nov 1987,5.42
Oct 1987,5.85
Sep 1987,6.64
Aug 1987,6.84
Jul 1987,6.78
Jun 1987,6.55
May 1987,5.98
Apr 1987,5.46
Mar 1987,5.36
Feb 1987,5.34
Jan 1987,5.3
Dec 1986,5.28
Nov 1986,5.66
Oct 1986,6.38
Sep 1986,6.83
Aug 1986,6.94
Jul 1986,6.84
Jun 1986,6.67
May 1986,6.18
Apr 1986,5.89
Mar 1986,5.71
Feb 1986,5.67
Jan 1986,5.63
Dec 1985,5.7
Nov 1985,6.13
Oct 1985,6.5
Sep 1985,7.06
Aug 1985,7.21
Jul 1985,7.07
Jun 1985,6.96
May 1985,6.59
Apr 1985,6.11
Mar 1985,5.99
Feb 1985,5.86
Jan 1985,5.97
Dec 1984,6.05
Nov 1984,6.31
Oct 1984,6.8
Sep 1984,7.17
Aug 1984,7.23
Jul 1984,7.11
Jun 1984,6.76
May 1984,6.27
Apr 1984,5.96
Mar 1984,5.92
Feb 1984,5.84
Jan 1984,5.78
Dec 1983,5.94
Nov 1983,6.3
Oct 1983,6.7
Sep 1983,6.19
Aug 1983,6.18
Jul 1983,6.21
Jun 1983,6.2
May 1983,6.22
Apr 1983,6.06
Mar 1983,6
Feb 1983,5.87
Jan 1983,5.86
Dec 1982,5.74
Nov 1982,5.68
Oct 1982,5.66
Sep 1982,5.41
Aug 1982,5.23
Jul 1982,5.23
Jun 1982,5.2
May 1982,5.17
Apr 1982,4.86
Mar 1982,4.78
Feb 1982,4.69
Jan 1982,4.65
Dec 1981,4.55
Nov 1981,4.53
Oct 1981,4.5
Sep 1981,4.47
Aug 1981,4.3
Jul 1981,4.32
Jun 1981,4.3
May 1981,4.29
Apr 1981,4.11
Mar 1981,4.06
Feb 1981,3.99
Jan 1981,3.94
Dec 1980,
Nov 1980,
Oct 1980,
Sep 1980,
Aug 1980,
Jul 1980,
Jun 1980,
May 1980,
Apr 1980,
Mar 1980,
Feb 1980,
Jan 1980,
Dec 1979,
Nov 1979,
Oct 1979,
Sep 1979,
Aug 1979,
Jul 1979,
Jun 1979,
May 1979,
Apr 1979,
Mar 1979,
Feb 1979,
Jan 1979,
Dec 1978,
Nov 1978,
Oct 1978,
Sep 1978,
Aug 1978,
Jul 1978,
Jun 1978,
May 1978,
Apr 1978,
Mar 1978,
Feb 1978,
Jan 1978,
Dec 1977,
Nov 1977,
Oct 1977,
Sep 1977,
Aug 1977,
Jul 1977,
Jun 1977,
May 1977,
Apr 1977,
Mar 1977,
Feb 1977,
Jan 1977,
Dec 1976,
Nov 1976,
Oct 1976,
Sep 1976,
Aug 1976,
Jul 1976,
Jun 1976,
May 1976,
Apr 1976,
Mar 1976,
Feb 1976,
Jan 1976,
