Average Natural Gas Price Delivered to Consumers Commercial Monthly
https://www.eia.gov/opendata/qb.php?category=711301&sdid=TOTAL.NGCCUUS.M
00:21:40 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.NGCCUUS.M Dollars per Thousand Cubic Feet
Mar 1999,4.97
Feb 1999,5.28
Jan 1999,5.19
Dec 1998,5.23
Nov 1998,5.22
Oct 1998,5.31
Sep 1998,5.49
Aug 1998,5.46
Jul 1998,5.64
Jun 1998,5.51
May 1998,5.73
Apr 1998,5.64
Mar 1998,5.4
Feb 1998,5.59
Jan 1998,5.65
Dec 1997,5.72
Nov 1997,5.86
Oct 1997,5.74
Sep 1997,5.58
Aug 1997,5.43
Jul 1997,5.35
Jun 1997,5.64
May 1997,5.39
Apr 1997,5.46
Mar 1997,5.73
Feb 1997,6.14
Jan 1997,6.19
Dec 1996,5.78
Nov 1996,5.4
Oct 1996,5.33
Sep 1996,5.46
Aug 1996,5.56
Jul 1996,5.46
Jun 1996,5.43
May 1996,5.4
Apr 1996,5.34
Mar 1996,5.36
Feb 1996,5.25
Jan 1996,5.29
Dec 1995,5
Nov 1995,4.77
Oct 1995,4.82
Sep 1995,4.98
Aug 1995,4.99
Jul 1995,5.03
Jun 1995,5.16
May 1995,5.04
Apr 1995,5.08
Mar 1995,5.12
Feb 1995,5.14
Jan 1995,5.23
Dec 1994,5.24
Nov 1994,5.19
Oct 1994,5.11
Sep 1994,5.36
Aug 1994,5.31
Jul 1994,5.25
Jun 1994,5.37
May 1994,5.47
Apr 1994,5.6
Mar 1994,5.67
Feb 1994,5.58
Jan 1994,5.5
Dec 1993,5.33
Nov 1993,5.21
Oct 1993,5.18
Sep 1993,5.35
Aug 1993,5.34
Jul 1993,5.15
Jun 1993,5.4
May 1993,5.31
Apr 1993,5.19
Mar 1993,5.1
Feb 1993,5.14
Jan 1993,5.23
Dec 1992,5.11
Nov 1992,5.12
Oct 1992,4.9
Sep 1992,4.69
Aug 1992,4.73
Jul 1992,4.64
Jun 1992,4.72
May 1992,4.59
Apr 1992,4.77
Mar 1992,4.77
Feb 1992,5.03
Jan 1992,4.85
Dec 1991,4.84
Nov 1991,4.71
Oct 1991,4.58
Sep 1991,4.57
Aug 1991,4.73
Jul 1991,4.5
Jun 1991,4.8
May 1991,4.65
Apr 1991,4.87
Mar 1991,4.89
Feb 1991,4.94
Jan 1991,4.94
Dec 1990,4.92
Nov 1990,4.81
Oct 1990,4.66
Sep 1990,4.55
Aug 1990,4.55
Jul 1990,4.45
Jun 1990,4.56
May 1990,4.63
Apr 1990,4.82
Mar 1990,4.92
Feb 1990,5.05
Jan 1990,4.97
Dec 1989,4.81
Nov 1989,4.71
Oct 1989,4.61
Sep 1989,4.67
Aug 1989,4.61
Jul 1989,4.65
Jun 1989,4.57
May 1989,4.64
Apr 1989,4.77
Mar 1989,4.79
Feb 1989,4.8
Jan 1989,4.81
Dec 1988,4.78
Nov 1988,4.69
Oct 1988,4.53
Sep 1988,4.41
Aug 1988,4.37
Jul 1988,4.48
Jun 1988,4.53
May 1988,4.61
Apr 1988,4.71
Mar 1988,4.69
Feb 1988,4.69
Jan 1988,4.6
Dec 1987,4.67
Nov 1987,4.66
Oct 1987,4.62
Sep 1987,4.6
Aug 1987,4.77
Jul 1987,4.78
Jun 1987,4.87
May 1987,4.88
Apr 1987,4.9
Mar 1987,4.8
Feb 1987,4.79
Jan 1987,4.8
Dec 1986,4.73
Nov 1986,4.74
Oct 1986,4.88
Sep 1986,4.93
Aug 1986,4.9
Jul 1986,5.02
Jun 1986,5.09
May 1986,5.19
Apr 1986,5.23
Mar 1986,5.25
Feb 1986,5.28
Jan 1986,5.25
Dec 1985,5.25
Nov 1985,5.39
Oct 1985,5.3
Sep 1985,5.37
Aug 1985,5.42
Jul 1985,5.44
Jun 1985,5.65
May 1985,5.59
Apr 1985,5.65
Mar 1985,5.59
Feb 1985,5.53
Jan 1985,5.62
Dec 1984,5.6
Nov 1984,5.56
Oct 1984,5.54
Sep 1984,5.53
Aug 1984,5.47
Jul 1984,5.6
Jun 1984,5.67
May 1984,5.6
Apr 1984,5.52
Mar 1984,5.57
Feb 1984,5.54
Jan 1984,5.49
Dec 1983,5.62
Nov 1983,5.67
Oct 1983,5.62
Sep 1983,
Aug 1983,
Jul 1983,
Jun 1983,
May 1983,
Apr 1983,
Mar 1983,
Feb 1983,
Jan 1983,
Dec 1982,
Nov 1982,
Oct 1982,
Sep 1982,
Aug 1982,
Jul 1982,
Jun 1982,
May 1982,
Apr 1982,
Mar 1982,
Feb 1982,
Jan 1982,
Dec 1981,
Nov 1981,
Oct 1981,
Sep 1981,
Aug 1981,
Jul 1981,
Jun 1981,
May 1981,
Apr 1981,
Mar 1981,
Feb 1981,
Jan 1981,
Dec 1980,
Nov 1980,
Oct 1980,
Sep 1980,
Aug 1980,
Jul 1980,
Jun 1980,
May 1980,
Apr 1980,
Mar 1980,
Feb 1980,
Jan 1980,
Dec 1979,
Nov 1979,
Oct 1979,
Sep 1979,
Aug 1979,
Jul 1979,
Jun 1979,
May 1979,
