Year,CensusBlock,City,State,HouseholdIncome,HouseholdIncomeMedian
2016,13121003200,Atlanta,GA,70000,5152
2016,13121012000,Atlanta,GA,19841,10007
2016,13121007200,Atlanta,GA,24297,4966
2016,13121008902,Atlanta,GA,60802,7775
2016,13121007100,Atlanta,GA,20938,1872
2016,13121003500,Atlanta,GA,53781,3695
2016,13121009603,Atlanta,GA,67063,12620
2016,13121008800,Atlanta,GA,94196,16061
2016,13121007002,Atlanta,GA,33536,12186
2016,13121001100,Atlanta,GA,88125,8336
2016,13121003600,Atlanta,GA,38558,16224
2016,13121010800,Atlanta,GA,43326,6817
2016,13121007001,Atlanta,GA,19939,7201
2016,13121003700,Atlanta,GA,23839,22548
2016,13121009602,Atlanta,GA,100142,15514
2016,13121008700,Atlanta,GA,27395,2522
2016,13121006900,Atlanta,GA,51429,18264
2016,13089022401,Atlanta,GA,78800,20647
2016,13121003800,Atlanta,GA,22000,5585
2016,13121001201,Atlanta,GA,55797,10494
2016,13121006802,Atlanta,GA,6815,3421
2016,13121010114,Atlanta,GA,54257,13739
2016,13121006700,Atlanta,GA,20895,2286
2016,13121003900,Atlanta,GA,29403,7215
2016,13121008602,Atlanta,GA,35649,3479
2016,13089020300,Atlanta,GA,101923,8147
2016,13121008601,Atlanta,GA,20777,4459
2016,13121006601,Atlanta,GA,29674,7440
2016,13121004000,Atlanta,GA,27167,8795
2016,13121001202,Atlanta,GA,75195,10126
2016,13121009601,Atlanta,GA,93576,13378
2016,13121006500,Atlanta,GA,40375,10133
2016,13089020600,Atlanta,GA,36908,8656
2016,13121004100,Atlanta,GA,30956,7009
2016,13121008500,Atlanta,GA,28556,3607
2016,13121006400,Atlanta,GA,44028,14820
2016,13089023700,Atlanta,GA,33678,8637
2016,13121006300,Atlanta,GA,24509,4015
2016,13121004200,Atlanta,GA,17843,5631
2016,13121001300,Atlanta,GA,59756,11996
2016,13121011900,Atlanta,GA,23185,8457
2016,13121006200,Atlanta,GA,24625,9463
2016,13121008400,Atlanta,GA,20625,3035
2016,13121004300,Atlanta,GA,28016,7137
2016,13121009502,Atlanta,GA,71307,24311
2016,13121006100,Atlanta,GA,30256,11596
2016,13121008302,Atlanta,GA,27869,2612
2016,13121006000,Atlanta,GA,31909,5207
2016,13121004400,Atlanta,GA,19754,4486
2016,13121001400,Atlanta,GA,77238,8753
2016,13121010002,Atlanta,GA,140795,18218
2016,13121005800,Atlanta,GA,30652,6631
2016,13121009501,Atlanta,GA,127288,22203
2016,13121004800,Atlanta,GA,17500,7200
2016,13121008301,Atlanta,GA,31977,6017
2016,13121005700,Atlanta,GA,17782,4426
2016,13121000100,Atlanta,GA,138276,18575
2016,13121005502,Atlanta,GA,16675,4709
2016,13121004900,Atlanta,GA,66786,18006
2016,13121001500,Atlanta,GA,60356,10036
2016,13089020100,Atlanta,GA,162500,24680
2016,13121005501,Atlanta,GA,20000,16956
2016,13121008202,Atlanta,GA,28355,4424
2016,13121005000,Atlanta,GA,61607,8841
2016,13121010001,Atlanta,GA,101132,32453
2016,13121005300,Atlanta,GA,95259,13785
2016,13121008201,Atlanta,GA,28745,1619
2016,13121005200,Atlanta,GA,88591,15489
2015,13121008201,Atlanta,GA,26705,2981
2015,13121005200,Atlanta,GA,76903,10524
2015,13089020100,Atlanta,GA,153177,26899
2015,13121012000,Atlanta,GA,17558,4146
2015,13121005300,Atlanta,GA,92500,8343
2015,13121011900,Atlanta,GA,28207,7983
2015,13121005000,Atlanta,GA,72500,12616
2015,13089020200,Atlanta,GA,102829,24355
2015,13121011800,Atlanta,GA,10000,5270
2015,13121005501,Atlanta,GA,19691,12851
2015,13089020300,Atlanta,GA,101875,7320
2015,13121010800,Atlanta,GA,41670,6394
2015,13121010303,Atlanta,GA,56698,9415
2015,13089020400,Atlanta,GA,78897,10871
2015,13121005502,Atlanta,GA,15682,2069
2015,13121004900,Atlanta,GA,62683,7792
2015,13121010211,Atlanta,GA,134048,63735
2015,13089020500,Atlanta,GA,41758,7282
2015,13121010206,Atlanta,GA,168214,31800
2015,13121005700,Atlanta,GA,16172,4253
2015,13121010114,Atlanta,GA,60020,16248
2015,13121004800,Atlanta,GA,18365,6364
2015,13089020600,Atlanta,GA,38452,8450
2015,13121010002,Atlanta,GA,150599,20381
2015,13121005800,Atlanta,GA,26250,7722
2015,13089020700,Atlanta,GA,50833,7160
2015,13121010001,Atlanta,GA,109327,15445
2015,13121009900,Atlanta,GA,112589,29137
2015,13089020801,Atlanta,GA,75956,14993
2015,13121006000,Atlanta,GA,28707,6223
2015,13121004400,Atlanta,GA,18750,4445
2015,13121009802,Atlanta,GA,157837,36958
2015,13089020802,Atlanta,GA,51944,9403
2015,13121009801,Atlanta,GA,126447,29775
