ZIPCode,CensusBlock,,
00927,72127009800,,
00927,72127010002,,
00927,72127008100,,
00927,72127006700,,
00927,72127008900,,
00927,72127009601,,
00927,72127009121,,
00927,72127010012,,
00927,72127008601,,
00927,72127008602,,
00953,72021031021,,
00953,72135510505,,
00953,72135510102,,
00953,72135510503,,
00953,72135510504,,
00953,72135510701,,
00953,72021031121,,
00953,72137122001,,
00953,72135510200,,
00953,72135510502,,
00953,72021031307,,
00953,72135510400,,
00953,72135510601,,
00953,72137122002,,
00953,72135510101,,
00953,72137121702,,
00953,72137121802,,
00953,72135510602,,
00953,72135510300,,
00961,72021031800,,
00961,72033020500,,
00961,72127004500,,
00961,72021031021,,
00961,72021031503,,
00961,72021031403,,
00961,72127009400,,
00961,72021031113,,
00961,72021031501,,
00961,72021031202,,
00961,72021031004,,
00961,72021031031,,
00961,72127001302,,
00961,72021031032,,
00961,72021031033,,
00961,72021031306,,
00961,72021031704,,
00961,72127010001,,
00961,72127010002,,
00961,72021031203,,
00961,72033020426,,
00961,72127005500,,
00961,72021031305,,
00961,72021031023,,
00961,72033020423,,
00961,72021031621,,
00961,72033020302,,
00961,72021031502,,
00961,72127003501,,
00961,72127007004,,
00961,72021030300,,
00961,72033020427,,
00961,72021031101,,
00961,72139060211,,
00961,72021030101,,
00961,72021031005,,
00961,72021031011,,
00961,72127005102,,
00961,72021031701,,
00961,72021030800,,
00961,72021030700,,
00961,72033020200,,
00961,72127010032,,
00968,72061040101,,
00968,72061040302,,
00968,72127007300,,
00968,72061040200,,
00968,72061040301,,
00968,72127009901,,
00968,72061040421,,
01001,25013813209,,
01001,25013813208,,
01001,25013813204,,
01001,25013813207,,
01001,25013813205,,
01001,25013813206,,
01010,25013813802,,
01010,25013810100,,
01010,25013813801,,
01010,25027761100,,
01008,25003933400,,
01008,25013813000,,
01028,25013802500,,
01028,25013813500,,
01028,25013813404,,
01028,25013813403,,
01028,25013813401,,
01028,25013802602,,
01035,25015821400,,
01072,25011040600,,
01070,25003931400,,
01070,25011040100,,
01070,25015822700,,
01063,25015821901,,
01063,25015821904,,
01063,25015821903,,
01063,25015822000,,
01097,25013813000,,
01090,25013812201,,
01106,25013813301,,
