UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
55,77,2015,Seattle,WA,98109,NonResidential,Hotel,1999,122942,67.6,68.0,135.3,136.5,5276777.0,5306165.0,0.0,2400660.0,2876216.0
56,82,2015,Seattle,WA,98122,NonResidential,Office,1962,54984,63.7,71.3,149.8,157.8,3504957.0,3921971.0,0.0,2181293.0,1323754.0
57,84,2015,Seattle,WA,98126,NonResidential,Senior Care Community,1922,217603,153.5,170.9,246.4,264.6,45494324.0,50629892.0,0.0,12080722.0,33414103.0
58,85,2015,Seattle,WA,98133,NonResidential,Senior Care Community,1970,93397,175.3,180.8,313.8,320.7,16371764.0,16886622.0,0.0,5797976.0,10574028.0
59,86,2015,Seattle,WA,98109,NonResidential,Hotel,2008,84103,62.8,63.8,164.1,164.0,3979132.0,4045411.0,0.0,2975816.0,1003439.0
60,89,2015,Seattle,WA,98122,NonResidential,Medical Office,1965,179014,105.4,110.9,221.6,224.0,18868768.0,19858448.0,0.0,9501003.0,9368159.0
61,95,2015,Seattle,WA,98104,NonResidential,Hotel,1908,76631,94.4,93.9,175.0,173.4,7231928.0,7192445.0,0.0,2784090.0,4447953.0
62,96,2015,Seattle,WA,98104,NonResidential,Medical Office,1983,187600,201.5,203.8,509.3,502.9,15240688.0,15416397.0,4816083.0,10425038.0,0.0
63,98,2015,Seattle,WA,98109,NonResidential,Retail Store,1929,58320,14.9,19.2,26.6,31.5,1074180.0,1383366.0,0.0,376328.0,697867.0
64,100,2015,Seattle,WA,98109,NonResidential,Office,2010,316306,46.3,46.7,139.3,139.8,13300859.0,13429220.0,0.0,12471183.0,830194.0
65,102,2015,Seattle,WA,98109,NonResidential,Hotel,1990,282863,79.9,85.3,178.1,186.6,18829136.0,20123722.0,0.0,10638785.0,8190794.0
66,103,2015,Seattle,WA,98109,Specialty,Other,1962,129000,79.7,78.7,167.7,167.7,29337400.0,28974828.0,8560000.0,14312992.0,0.0
67,104,2015,Seattle,WA,98109,Specialty,Other,1962,91213,78.0,85.9,201.2,216.1,5069854.0,5580583.0,1270000.0,3622005.0,0.0
68,106,2015,Seattle,WA,98109,Specialty,Other,1938,396085,97.6,96.5,166.8,167.7,27185096.0,26880068.0,10951000.0,7964427.0,0.0
69,107,2015,Seattle,WA,98109,NonResidential,Office,2010,571329,66.8,66.7,184.6,184.3,41734776.0,41683652.0,0.0,34236747.0,7499452.0
70,110,2015,Seattle,WA,98109,Specialty,Other,1962,49680,50.6,49.4,102.4,101.3,2632472.0,2568666.0,1145000.0,1149520.0,0.0
71,111,2015,Seattle,WA,98109,Specialty,Other,1928,60696,8.6,8.6,26.9,26.9,924980.0,924980.0,0.0,925018.0,0.0
72,112,2015,Seattle,WA,98109,Specialty,Other,1928,262048,70.4,70.4,174.1,179.7,20828130.0,20845160.0,3900000.0,13983710.0,0.0
73,113,2015,Seattle,WA,98109,NonResidential,Office,1986,66240,77.8,77.8,244.4,244.4,4329966.0,4329966.0,0.0,4330148.0,0.0
74,114,2015,Seattle,WA,98109,NonResidential,Office,2010,920598,49.9,52.8,133.3,133.0,36681188.0,38835684.0,0.0,28483019.0,8199352.0
75,115,2015,Seattle,WA,98033,NonResidential,Office,1970,76213,64.8,66.8,183.3,189.4,3303553.0,3402840.0,0.0,2809470.0,494199.0
76,116,2015,Seattle,WA,98109,NonResidential,Hotel,2002,117738,84.4,87.5,186.9,196.8,5061274.0,5249742.0,0.0,2820414.0,2240976.0
77,117,2015,Seattle,WA,98105,NonResidential,Hotel,1962,50017,111.4,114.3,207.1,210.0,5570472.0,5717357.0,0.0,2156751.0,3413811.0
78,118,2015,Seattle,WA,98106,Specialty,K-12 School,1999,74468,24.9,26.9,70.9,76.9,1857329.0,2001478.0,0.0,1591795.0,265600.0
79,119,2015,Seattle,WA,98112,NonResidential,K-12 School,1923,67743,34.0,35.2,74.7,78.6,2303288.0,2385958.0,0.0,1265357.0,1037984.0
80,120,2015,Seattle,WA,98112,NonResidential,K-12 School,1908,194104,30.3,38.8,51.2,61.5,5889882.0,7540875.0,0.0,1795343.0,4094613.0
81,121,2015,Seattle,WA,98144,NonResidential,Office,2003,99433,69.7,72.9,218.9,228.8,4439034.0,4640342.0,0.0,4439217.0,0.0
82,122,2015,Seattle,WA,98144,Specialty,K-12 School,1991,58933,35.4,40.7,111.2,127.9,2150120.0,2473493.0,0.0,2150209.0,0.0
83,125,2015,Seattle,WA,98108,Specialty,K-12 School,1957,130862,44.7,57.4,81.3,97.8,5851209.0,7508759.0,0.0,2151598.0,3699700.0
84,127,2015,Seattle,WA,98118,Specialty,K-12 School,1989,59955,25.4,28.6,76.3,84.9,1521329.0,1711759.0,0.0,1424088.0,97300.0
