UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ChilledWaterUse(kBtu),OtherFuelUse(kBtu)
61,105864,2014,Chicago,IL,60611,Specialty,Other - Entertainment/Public Assembly,1914,1589190.0,132.0,129.0,290.0,286.0,0.0,114699225.0,95098457.0,0.0,0.0
62,101727,2014,Chicago,IL,60661,NonResidential,Office,1986,1855810.0,74.0,72.0,233.0,226.0,0.0,137643117.0,0.0,0.0,0.0
63,101770,2014,Chicago,IL,60606,NonResidential,Office,1983,2662457.0,63.0,63.0,197.0,197.0,0.0,166452270.0,1605600.0,0.0,40020.0
64,101865,2014,Chicago,IL,60606,NonResidential,Office,1971,1281114.0,96.0,92.0,217.0,212.0,0.0,70988503.0,52243346.0,0.0,0.0
65,101784,2014,Chicago,IL,60605,Specialty,College/University,1889,598474.0,65.0,0.0,152.0,0.0,0.0,24209133.0,14480848.0,0.0,0.0
66,111290,2014,Chicago,IL,60616,Specialty,College/University,1964,392894.0,50.0,0.0,155.0,0.0,0.0,19183561.0,623800.0,0.0,0.0
67,101874,2014,Chicago,IL,60611,NonResidential,Office,1976,517115.0,80.0,77.0,252.0,243.0,0.0,41443210.0,49803.0,0.0,0.0
68,158095,2014,Chicago,IL,60631,NonResidential,Office,1969,256010.0,59.0,0.0,186.0,0.0,0.0,15126478.0,0.0,6073.0,0.0
69,101961,2014,Chicago,IL,60603,NonResidential,Office,1958,300971.0,121.0,114.0,219.0,212.0,0.0,13328456.0,22966478.0,0.0,0.0
70,101841,2014,Chicago,IL,60604,NonResidential,Office,1910,512369.0,140.0,134.0,243.0,236.0,0.0,23790040.0,39696042.0,8351160.0,0.0
71,157832,2014,Chicago,IL,60634,NonResidential,Hospital (General Medical & Surgical),1955,346894.0,215.0,207.0,434.0,424.0,0.0,34473995.0,40258704.0,0.0,0.0
72,103598,2014,Chicago,IL,60601,NonResidential,Office,1986,1031459.0,56.0,54.0,175.0,170.0,0.0,57521646.0,0.0,0.0,31464.0
73,101708,2014,Chicago,IL,60601,NonResidential,Office,1972,1215747.0,89.0,86.0,187.0,184.0,0.0,54294712.0,54345248.0,0.0,0.0
74,250128,2014,Chicago,IL,60637,NonResidential,Hospital (General Medical & Surgical),2013,1205371.0,231.0,227.0,462.0,458.0,163124280.0,114832771.0,0.0,0.0,0.0
75,101912,2014,Chicago,IL,60661,NonResidential,Office,2000,392503.0,68.0,68.0,212.0,212.0,0.0,26504331.0,0.0,0.0,0.0
76,101760,2014,Chicago,IL,60601,NonResidential,Office,1989,1392096.0,75.0,74.0,233.0,230.0,0.0,102578334.0,1687027.0,0.0,0.0
77,101934,2014,Chicago,IL,60654,NonResidential,Office,1987,1025053.0,57.0,56.0,180.0,175.0,0.0,58824688.0,0.0,0.0,0.0
78,102455,2014,Chicago,IL,60637,Specialty,College/University,2004,419312.0,121.0,118.0,263.0,260.0,24287151.0,25532624.0,885000.0,0.0,0.0
79,250055,2014,Chicago,IL,60625,Specialty,K-12 School,1928,262000.0,70.0,57.0,103.0,89.0,0.0,3596183.0,14820434.0,0.0,0.0
80,101738,2014,Chicago,IL,60601,NonResidential,Office,2010,2218838.0,85.0,84.0,205.0,203.0,0.0,124794002.0,2559937.0,61058975.0,36570.0
81,158184,2014,Chicago,IL,60603,NonResidential,Office,1980,1085869.0,79.0,76.0,212.0,203.0,0.0,67547432.0,0.0,18343915.0,0.0
82,101891,2014,Chicago,IL,60604,NonResidential,Office,1904,412504.0,81.0,75.0,197.0,190.0,0.0,22104850.0,11252897.0,0.0,0.0
83,101713,2014,Chicago,IL,60601,NonResidential,Office,1972,3193966.0,98.0,95.0,178.0,176.0,0.0,117759311.0,106045324.0,88093124.0,173880.0
84,157964,2014,Chicago,IL,60605,Specialty,Library,1970,756640.0,96.0,96.0,301.0,301.0,0.0,72412262.0,0.0,0.0,0.0
85,101787,2014,Chicago,IL,60606,NonResidential,Office,1918,979270.0,76.0,74.0,188.0,185.0,0.0,50372618.0,24273103.0,0.0,0.0
86,101950,2014,Chicago,IL,60604,NonResidential,Office,1910,529401.0,99.0,95.0,190.0,186.0,0.0,21716977.0,30585062.0,0.0,0.0
87,101715,2014,Chicago,IL,60606,NonResidential,Office,1989,3406142.0,63.0,63.0,198.0,198.0,0.0,214100987.0,443100.0,0.0,0.0
88,103638,2014,Chicago,IL,60605,NonResidential,Mixed Use Property,1921,1300557.0,112.0,109.0,221.0,217.0,0.0,64959229.0,80104703.0,0.0,0.0
89,101795,2014,Chicago,IL,60611,NonResidential,Office,1969,622883.0,105.0,99.0,221.0,212.0,0.0,32817220.0,32726633.0,0.0,0.0
90,101890,2014,Chicago,IL,60611,Specialty,Other - Specialty Hospital,1971,381000.0,107.0,107.0,335.0,335.0,0.0,40612285.0,0.0,0.0,0.0
91,101756,2014,Chicago,IL,60602,NonResidential,Office,1906,638592.0,109.0,109.0,248.0,248.0,0.0,40908174.0,28393999.0,0.0,0.0
92,103698,2014,Chicago,IL,60602,NonResidential,Office,2008,471436.0,110.0,110.0,377.0,377.0,0.0,56524966.0,0.0,0.0,0.0
93,101834,2014,Chicago,IL,60606,NonResidential,Office,1991,708027.0,66.0,63.0,208.0,197.0,0.0,46860374.0,0.0,0.0,16560.0
94,103687,2014,Chicago,IL,60603,NonResidential,Office,1903,1097549.0,69.0,66.0,142.0,139.0,0.0,36462645.0,39674099.0,0.0,0.0
95,101868,2014,Chicago,IL,60606,NonResidential,Office,1971,600713.0,86.0,80.0,188.0,181.0,0.0,28250388.0,23260893.0,0.0,0.0
96,107850,2014,Chicago,IL,60606,NonResidential,Office,1926,289000.0,128.0,121.0,221.0,213.0,0.0,11863981.0,25242443.0,0.0,0.0
97,101801,2014,Chicago,IL,60601,NonResidential,Office,1981,2059714.0,64.0,61.0,201.0,193.0,0.0,131683752.0,25801.0,0.0,0.0
98,101889,2014,Chicago,IL,60601,NonResidential,Office,1928,362756.0,102.0,98.0,170.0,165.0,0.0,10824724.0,26288203.0,0.0,0.0
99,101987,2014,Chicago,IL,60603,NonResidential,Office,1970,464592.0,68.0,65.0,213.0,204.0,0.0,31569175.0,0.0,0.0,0.0
100,102452,2014,Chicago,IL,60637,Specialty,Library,1971,575597.0,166.0,166.0,270.0,270.0,46454722.0,23747650.0,0.0,25201448.0,0.0
101,101913,2014,Chicago,IL,60661,NonResidential,Office,2004,428096.0,61.0,59.0,156.0,154.0,0.0,18766884.0,7306250.0,0.0,0.0
102,103606,2014,Chicago,IL,60606,NonResidential,Office,1973,4493970.0,110.0,110.0,346.0,346.0,0.0,495368832.0,0.0,0.0,0.0
103,101724,2014,Chicago,IL,60611,NonResidential,Office,1925,919420.0,114.0,110.0,232.0,228.0,0.0,49693289.0,54622000.0,0.0,0.0
104,103647,2014,Chicago,IL,60603,NonResidential,Office,1934,1547120.0,126.0,122.0,232.0,228.0,0.0,74409271.0,93728074.0,27209940.0,0.0
105,103699,2014,Chicago,IL,60602,NonResidential,Office,1965,822815.0,82.0,79.0,169.0,165.0,0.0,32586296.0,34912279.0,0.0,0.0
106,101988,2014,Chicago,IL,60606,NonResidential,Office,1929,309652.0,80.0,75.0,156.0,149.0,0.0,10646972.0,14245615.0,0.0,0.0
107,103721,2014,Chicago,IL,60604,NonResidential,Office,1886,337879.0,76.0,76.0,239.0,239.0,0.0,25663102.0,0.0,0.0,0.0
108,103645,2014,Chicago,IL,60601,NonResidential,Office,1985,760086.0,66.0,63.0,206.0,199.0,0.0,49831782.0,0.0,0.0,0.0
109,102363,2014,Chicago,IL,60618,Specialty,K-12 School,1932,716630.0,70.0,66.0,112.0,107.0,0.0,13097409.0,37018172.0,0.0,0.0
110,102585,2014,Chicago,IL,60628,Specialty,College/University,1971,1170487.0,140.0,133.0,259.0,251.0,0.0,62776910.0,101398441.0,0.0,0.0
111,158868,2014,Chicago,IL,60637,Specialty,Laboratory,2009,376735.0,491.0,481.0,929.0,916.0,119256719.0,65743815.0,0.0,0.0,0.0
112,103632,2014,Chicago,IL,60654,NonResidential,Hospital (General Medical & Surgical),1999,2200000.0,203.0,199.0,389.0,383.0,0.0,185269075.0,260264006.0,0.0,0.0
113,103651,2014,Chicago,IL,60605,NonResidential,Office,1984,1157744.0,86.0,85.0,269.0,267.0,0.0,99215774.0,0.0,0.0,0.0
114,101871,2014,Chicago,IL,60606,NonResidential,Office,1986,587815.0,63.0,60.0,199.0,190.0,0.0,37238636.0,0.0,0.0,0.0
115,160137,2014,Chicago,IL,60607,NonResidential,Office,1932,279320.0,68.0,65.0,156.0,153.0,0.0,11405135.0,7474178.0,0.0,0.0
116,101755,2014,Chicago,IL,60603,NonResidential,Office,1974,1526102.0,126.0,123.0,264.0,261.0,0.0,96188340.0,96243598.0,0.0,0.0
117,101709,2014,Chicago,IL,60606,NonResidential,Office,1929,1742899.0,79.0,76.0,161.0,158.0,0.0,64733556.0,73475903.0,0.0,0.0
118,101681,2014,Chicago,IL,60631,NonResidential,Hospital (General Medical & Surgical),1953,1096075.0,254.0,246.0,441.0,433.0,0.0,91777477.0,186358801.0,0.0,0.0
119,101907,2014,Chicago,IL,60606,NonResidential,Office,1987,539705.0,72.0,68.0,227.0,213.0,0.0,39067059.0,0.0,0.0,0.0
120,101881,2014,Chicago,IL,60602,NonResidential,Office,1914,488324.0,46.0,45.0,123.0,122.0,5550906.0,17070966.0,0.0,0.0,0.0
121,101971,2014,Chicago,IL,60611,Specialty,College/University,2004,306560.0,103.0,96.0,267.0,253.0,0.0,23270864.0,8299049.0,0.0,0.0
122,103743,2014,Chicago,IL,60602,NonResidential,Office,1966,372137.0,106.0,100.0,196.0,190.0,0.0,15168670.0,17670601.0,6715224.0,0.0
123,250125,2014,Chicago,IL,60637,NonResidential,Hospital (General Medical & Surgical),2006,252204.0,326.0,326.0,677.0,677.0,45288420.0,37006313.0,0.0,0.0,0.0
124,101508,2014,Chicago,IL,60625,Specialty,College/University,1961,1258489.0,113.0,0.0,208.0,0.0,0.0,53531039.0,88910222.0,0.0,0.0
125,101742,2014,Chicago,IL,60601,NonResidential,Office,1985,1200000.0,118.0,112.0,271.0,265.0,0.0,84803793.0,56277851.0,0.0,0.0
126,101753,2014,Chicago,IL,60606,NonResidential,Office,1971,1237455.0,94.0,92.0,233.0,229.0,0.0,79388164.0,37344286.0,0.0,0.0
127,101744,2014,Chicago,IL,60606,NonResidential,Office,2001,1599211.0,93.0,91.0,240.0,234.0,0.0,109723642.0,0.0,38694407.0,0.0
128,101745,2014,Chicago,IL,60601,NonResidential,Office,1992,1200836.0,68.0,68.0,213.0,213.0,0.0,81305742.0,0.0,0.0,0.0
129,102409,2014,Chicago,IL,60660,Specialty,K-12 School,1912,346140.0,109.0,104.0,193.0,187.0,0.0,12902451.0,24971056.0,0.0,0.0
130,103778,2014,Chicago,IL,60640,NonResidential,Hospital (General Medical & Surgical),1952,412000.0,309.0,302.0,522.0,514.0,0.0,38961560.0,88380814.0,0.0,0.0
131,103739,2014,Chicago,IL,60602,NonResidential,Office,1981,433246.0,62.0,59.0,186.0,178.0,0.0,25172863.0,1542457.0,0.0,0.0
132,101707,2014,Chicago,IL,60601,NonResidential,Office,1969,1281847.0,92.0,89.0,191.0,187.0,0.0,57641168.0,60587097.0,0.0,0.0
133,101560,2014,Chicago,IL,60605,NonResidential,Office,1912,689733.0,100.0,95.0,200.0,195.0,0.0,31265077.0,37628163.0,0.0,0.0
134,101854,2014,Chicago,IL,60606,NonResidential,Office,1964,787045.0,72.0,70.0,162.0,159.0,0.0,32314677.0,24510340.0,0.0,0.0
135,101569,2014,Chicago,IL,60605,Specialty,Adult Education,1893,517424.0,49.0,45.0,117.0,113.0,0.0,16366914.0,8711048.0,0.0,0.0
136,101716,2014,Chicago,IL,60606,NonResidential,Office,1990,1433105.0,72.0,70.0,226.0,218.0,0.0,103144555.0,0.0,0.0,0.0
137,101799,2014,Chicago,IL,60606,NonResidential,Office,1981,874000.0,71.0,69.0,223.0,218.0,0.0,61968744.0,0.0,0.0,0.0
138,101975,2014,Chicago,IL,60604,Specialty,College/University,1930,371257.0,96.0,92.0,150.0,145.0,0.0,8803114.0,20741731.0,6131688.0,0.0
139,102365,2014,Chicago,IL,60613,Specialty,K-12 School,1898,266099.0,66.0,60.0,111.0,104.0,0.0,5222793.0,12423369.0,0.0,0.0
140,101929,2014,Chicago,IL,60604,NonResidential,Office,1958,421232.0,104.0,101.0,194.0,190.0,0.0,17227570.0,17140828.0,9542928.0,0.0
141,250038,2014,Chicago,IL,60628,Specialty,K-12 School,1999,255116.0,103.0,99.0,189.0,185.0,0.0,9929524.0,16275539.0,0.0,0.0
142,101958,2014,Chicago,IL,60602,NonResidential,Office,1914,409072.0,71.0,66.0,152.0,147.0,0.0,15055095.0,14135755.0,0.0,0.0
143,250001,2014,Chicago,IL,60602,NonResidential,Office,1991,477123.0,58.0,56.0,183.0,174.0,0.0,27764608.0,0.0,0.0,0.0
144,102157,2014,Chicago,IL,60601,NonResidential,Office,1972,2751094.0,70.0,67.0,188.0,181.0,0.0,149471292.0,44242957.0,0.0,0.0
145,103600,2014,Chicago,IL,60603,NonResidential,Office,1986,871962.0,69.0,66.0,214.0,204.0,0.0,59096795.0,774949.0,0.0,0.0
146,250056,2014,Chicago,IL,60607,Specialty,K-12 School,1975,430443.0,169.0,163.0,310.0,303.0,0.0,27226255.0,45584993.0,0.0,0.0
147,101789,2014,Chicago,IL,60606,NonResidential,Office,1982,1001834.0,67.0,64.0,211.0,200.0,0.0,67148501.0,0.0,0.0,0.0
148,103643,2014,Chicago,IL,60601,NonResidential,Office,1972,857412.0,105.0,102.0,194.0,189.0,0.0,34885107.0,36531716.0,18642430.0,0.0
149,101679,2014,Chicago,IL,60631,NonResidential,Office,1980,417395.0,80.0,77.0,248.0,238.0,0.0,32901101.0,347070.0,0.0,0.0
150,103664,2014,Chicago,IL,60603,NonResidential,Financial Office,1963,580000.0,91.0,87.0,208.0,205.0,0.0,31377219.0,21202799.0,0.0,0.0
151,101717,2014,Chicago,IL,60603,NonResidential,Office,1972,1674462.0,93.0,90.0,236.0,224.0,0.0,111793907.0,1063517.0,43490499.0,0.0
152,101038,2014,Chicago,IL,60608,NonResidential,Office,2006,458947.0,89.0,86.0,210.0,206.0,0.0,25519556.0,15302785.0,0.0,84180.0
153,100729,2014,Chicago,IL,60607,NonResidential,Office,1989,568200.0,90.0,87.0,274.0,265.0,0.0,48685589.0,2601900.0,0.0,0.0
154,101791,2014,Chicago,IL,60603,NonResidential,Office,1980,899237.0,53.0,50.0,165.0,157.0,0.0,47301853.0,0.0,0.0,0.0
155,103640,2014,Chicago,IL,60602,NonResidential,Office,1932,501904.0,91.0,86.0,171.0,165.0,0.0,18120566.0,27641914.0,0.0,0.0
156,250126,2014,Chicago,IL,60637,NonResidential,Ambulatory Surgical Center,1996,538062.0,206.0,206.0,467.0,467.0,50494257.0,60586645.0,0.0,0.0,0.0
