Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0299/005,750 Post Street LLC,750 POST ST,94109,"750 POST ST
SAN FRANCISCO, CA 94109",10000,Other - Entertainment/Public Assembly,http://propertymap.sfplanning.org/?&search=0299/005,1914,2020-04-01T00:00:00.000,Upcoming,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,18.6,37.4,-56,-56,12.8,1.3,18.6,37.4,,23.1,49.1,-42.3,-42.3,15.6,1.6,24.3,50.4,,24.5,51.8,-39.1,-39.1,16.6,1.7,30.1,59.1,,33.7,65.1,-23.5,-23.5,21.9,2.2,33.7,65.1,,,,,,,,,,,,,,,,,,
0300/009,888 Post Street,888 POST ST,94109,"888 POST ST
SAN FRANCISCO, CA 94109",32131,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0300/009,1920,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,2.7,4.4,-96.5,-96.5,4.6,0.2,2.7,4.4,,2.8,4.6,-96.3,-96.3,5.1,0.2,2.8,4.6,,3,5.2,-95.8,-95.8,5.4,0.2,3,5.2,,8.2,19.6,-84.1,-84.1,17,0.6,8.7,20.1,,10,23.6,-80.8,-80.8,21.8,0.8,10,23.7,,10.5,25.5,-85,,23.8,,10.2,25.2,,,,,,,,,
0301/017,Hotel Carlton,1075 SUTTER ST,94109,"1075 SUTTER ST
SAN FRANCISCO, CA 94109",74000,Hotel,http://propertymap.sfplanning.org/?&search=0301/017,1924,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,98,56.3,83.4,-54.8,-54.8,240.9,3.3,59.6,87.3,98,56.8,82.7,-54.6,-54.6,241.9,3.3,62.5,89.1,98,56.9,82.5,-55.4,-55.4,250.9,3.4,59.7,85.4,99,53.8,79.6,-59.2,-59.2,233,3.2,58.6,85.2,99,57.5,85.4,-57.5,-57.5,254.8,3.5,57.9,85.8,99,62.1,92.1,-57.3,,275.4,,60.9,90.8,99,56.8,,-60.3,,254.03,,56.8,
0304/005,610 GEARY ST,610 GEARY ST,94109,"610 GEARY ST
SAN FRANCISCO, CA 94109",39880,Hotel,http://propertymap.sfplanning.org/?&search=0304/005,1907,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,95,62.9,92,-48.1,-48.1,149.9,3.8,67.3,96.6,97,55.9,84.5,-52.8,-52.8,132.4,3.3,58.3,87,97,57.6,83.7,-52.5,-52.5,134.5,3.4,64.5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304/015,Vantaggio Suites - 761 Post St,761 POST ST,94109,"761 POST ST
SAN FRANCISCO, CA 94109",55699,Hotel,http://propertymap.sfplanning.org/?&search=0304/015,1930,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Exempt,New Construction,Exempt,New Construction,Exempt,Demolition,Exempt,Change in Ownership,Complied,,Complied,,72,84.9,170.8,-20.1,-20.1,332.7,6,84.2,168.6,68,90,175.5,-16.1,-16.1,372.1,6.7,90,175.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,77.9,,-31.8,,418.08,,68.7,
0304/025,650 GEARY ST,650 GEARY ST,94109,"650 GEARY ST
SAN FRANCISCO, CA 94109",42800,Unknown,http://propertymap.sfplanning.org/?&search=0304/025,1989,2013-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0305/009,Hotel Adagio - Autograph Collection,550 GEARY ST,94102,"550 GEARY ST
SAN FRANCISCO, CA 94102",99000,Hotel,http://propertymap.sfplanning.org/?&search=0305/009,1929,2019-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,81,72.3,142,-27.9,-27.9,490.1,5,72.9,142.1,78,74.7,145.3,-25.4,-25.4,538,5.4,75.3,145.6,77,73.9,147,-24.5,-24.5,519.5,5.2,74.4,146.8,75,73.6,149.7,-22,-22,518,5.2,74.2,148.5,79,76.5,149.2,-25.9,-25.9,625.2,6.3,76.6,150.2,98,54.5,93.7,-53.5,-53.5,369.9,3.7,54.5,93.7,,,,,,,,,
0305/013,580 GEARY ST,580 GEARY ST,94102,"580 GEARY ST
SAN FRANCISCO, CA 94102",33635,Hotel,http://propertymap.sfplanning.org/?&search=0305/013,1913,2014-04-01T00:00:00.000,Did Not Comply,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,44,82.7,180.7,4.8,4.8,182.1,5.4,82.7,180.7,57,77.1,158.7,-6.5,-6.5,179.9,5.3,81.5,163.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/004,401 MASON ST,401 MASON ST,94102,"401 MASON ST
SAN FRANCISCO, CA 94102",10580,Restaurant,http://propertymap.sfplanning.org/?&search=0306/004,1916,2022-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,435.5,861.5,99.4,99.4,302.9,28.6,435.5,861.5,,335,674.1,56,56,234.7,22.2,335,674.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/007,Diva Hotel,440 GEARY ST,94102,"440 GEARY ST
SAN FRANCISCO, CA 94102",56064,Hotel,http://propertymap.sfplanning.org/?&search=0306/007,1912,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,37,64.1,142.2,12,12,236.5,4.2,64.9,144.2,34,61.4,139.9,15,15,228.8,4.1,63.2,145.4,70,68,158.6,-18,-18,240.1,4.8,69.5,162.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/007A,450 Geary St,450 GEARY ST,94102,"450 GEARY ST
SAN FRANCISCO, CA 94102",20295,Office,http://propertymap.sfplanning.org/?&search=0306/007A,1922,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,9.4,25.4,-82.8,-82.8,13.6,0.7,9.4,25.4,,13.8,31.3,-78.8,-78.8,18.6,0.9,13.8,31.3,,40.7,69.8,,,52.7,2.6,40.7,69.8,,46.3,81.5,-44.9,-44.9,59,2.9,46.3,81.5,98,21.6,57,-62,-62,32.8,1.6,21,56.4,,,,,,,,,,,,,,,,,,
0306/007B,GEARY ST,466 GEARY ST,94102,"466 GEARY ST
SAN FRANCISCO, CA 94102",20295,Office,http://propertymap.sfplanning.org/?&search=0306/007B,1922,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,48.9,71.3,-51.9,-51.9,57.1,2.8,51.3,73.7,,36.4,58,-60.8,-60.8,43.6,2.1,38,59.6,,43.7,77.4,,,57.4,2.8,47.1,81,,37.5,75.9,-48.8,-48.8,50.5,2.5,43.3,83.6,81,49.8,98.9,-32.9,-32.9,66.5,3.3,45.5,94.4,,,,,,,,,,,,,,,,,,
0306/009,476 GEARY ST,476 GEARY ST,94102,"476 GEARY ST
SAN FRANCISCO, CA 94102",18720,Hotel,http://propertymap.sfplanning.org/?&search=0306/009,1911,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Change in Ownership,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,82,75.5,142.6,,,91.2,4.9,77,144.2,81,74.4,142.6,,,90.4,4.8,77.8,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/012,Warwick San Francisco Hotel,490 GEARY ST,94102,"490 GEARY ST
SAN FRANCISCO, CA 94102",34000,Hotel,http://propertymap.sfplanning.org/?&search=0306/012,1912,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,30,111.3,238.9,19.5,19.5,246,7.2,111.6,239.3,1,250.5,376.5,108.9,108.9,514.5,15.1,250.7,377.4,32,124,255.5,17.5,17.5,281.8,8.3,124.6,257.4,,,,,,,,,,,,,,,,,,,51,116.7,236.1,-1.5,,274.67,,116.2,234.3,,,,,,,,,
0306/022,Hotel Zeppelin San Francisco,545 POST ST,94102,"545 POST ST
SAN FRANCISCO, CA 94102",93600,Hotel,http://propertymap.sfplanning.org/?&search=0306/022,1913,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,69,68.4,153.6,-17,-17,423.2,4.5,68.4,153.6,93,45.6,103.9,-43.1,-43.1,311,3.3,45.6,103.9,82,55,128.4,-29.6,-29.6,379.9,4.1,55,128.4,,,,,,,,,,65,92.3,190.9,-13.3,-13.3,588.9,6.5,92.3,190.9,80,83.8,183.4,-27.8,,549.18,,83.9,183.6,78,90.4,,-25.6,,581.56,,93,
0306/199,441 MASON ST,501 POST STREET,94102,"501 Post Street
SAN FRANCISCO, CA 94102",115722,Hotel,http://propertymap.sfplanning.org/?&search=0306/199,0,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,43,51.8,129,5.6,5.6,412.3,3.6,51.8,129,38,53.9,132.9,11.2,11.2,473.4,4.1,53.9,132.9,39,53.1,131.7,10.2,10.2,446,3.9,53.1,131.7,38,52.6,131.2,11,11,442.9,3.8,52.6,131.2,38,56.3,139.4,10.4,10.4,472.3,4.1,56.3,139.4,,,,,,,,,,,,,,,,,,
0307/001,Westin St. Francis Hotel,335 POWELL ST,94102,"335 POWELL ST
SAN FRANCISCO, CA 94102",1471800,Hotel,http://propertymap.sfplanning.org/?&search=0307/001,1904,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,35,76.8,170.2,14.1,14.1,6788.4,5.4,77.5,171,2,117.2,297.4,103.1,103.1,10561.1,8.5,117.9,298.2,75,62.6,124.6,-22.1,-22.1,6305.6,4.5,62.6,124.6,65,65.4,120.9,-13.4,-13.4,6488.5,4.6,65.4,120.9,24,87.1,186.1,26.4,26.4,10619.2,7.6,87.1,186.1,1,,,,,,,,,1,48410.9,,37084,,5362506.36,,48410.9,
0307/007,Hotel Frank,386 GEARY ST,94102,"386 GEARY ST
SAN FRANCISCO, CA 94102",83500,Hotel,http://propertymap.sfplanning.org/?&search=0307/007,1909,2020-04-01T00:00:00.000,Upcoming,Complied,,Violation - Insufficient Data,,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Complied,,Complied,,93,60.4,116.4,-40.4,-40.4,311.8,3.7,60.4,116.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,63.9,,-13,,292.73,,63.9,
0307/008,Native Sons Building,414 MASON ST,94102,"414 MASON ST
SAN FRANCISCO, CA 94102",68132,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0307/008,1911,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,40.4,80.3,-34.8,-34.8,186.7,2.7,41.1,81,,56.1,126.2,2.5,2.5,287.8,4.2,56.7,127,,56.4,131.9,7.2,7.2,280.7,4.1,57,131.7,,62.4,145.3,18,18,310.9,4.6,63.9,144.6,,65.3,146.1,18.5,18.7,366.4,5.4,64.7,146.3,,76.3,172.7,66,,375.16,,77.4,173.9,,77.6,,90.6,,380.52,,78.3,
0307/009,"491 Post Street, LLC",491 POST ST,94102,"491 POST ST
SAN FRANCISCO, CA 94102",37730,College/University,http://propertymap.sfplanning.org/?&search=0307/009,1913,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,19.2,45.6,-82.7,-82.7,52.2,1.4,19.7,46.2,,16.2,40.5,-84.6,-84.6,48.9,1.3,17.2,41.8,,15.8,38.2,-85.4,-85.4,45.1,1.2,16.6,39.3,,18.4,42.9,-83.7,-83.7,52.2,1.4,22.2,47.5,,13,40.8,-84.4,-84.5,43.1,1.1,13,40.8,,13.4,44.6,-87.2,,45.8,,13.4,44.6,,,,,,,,,
0309/001,201 POST ST,201 POST ST,94108,"201 POST ST
SAN FRANCISCO, CA 94108",96776,Office,http://propertymap.sfplanning.org/?&search=0309/001,1909,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,100,17.8,42.3,-80.9,-80.9,116.3,1.2,19.2,43.8,97,30.2,88.7,-59.4,-59.4,244.2,2.5,31.2,89.7,92,38.2,113.8,-48.7,-48.7,293.4,3,38.2,112.8,91,36.8,114.6,-47.7,-47.7,289.2,3,37,114.8,90,40.3,122.5,-45.2,-45.2,312.7,3.2,40.4,122.6,91,40.9,117.7,-47.8,-47.8,308.8,3.2,40.6,117.4,,,,,,,,,
0309/006,140 Geary Street,132 GEARY ST,94108,"132 GEARY ST
SAN FRANCISCO, CA 94108",52596,Office,http://propertymap.sfplanning.org/?&search=0309/006,1908,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,96,34.6,98.7,-57,-57,132.3,2.5,35.5,99.6,92,39.4,115.3,-49,-49,172.7,3.3,40.5,116.5,90,41.1,123.6,-46.2,-46.2,172.4,3.3,41.4,124,97,30.5,91.5,-59.6,-59.6,127.8,2.4,31.3,92.4,96,36.1,99.7,-56.9,-56.9,144.9,2.8,36.2,99.8,98,31.4,87.6,-62.5,-62.5,126.9,2.4,31.2,87.4,98,29.1,85.2,-63.8,-63.8,120.4,2.3,28.7,84.8
0309/007,146 GEARY ST,146 GEARY ST,94108,"146 GEARY ST
SAN FRANCISCO, CA 94108",12400,Retail Store,http://propertymap.sfplanning.org/?&search=0309/007,1907,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,76,40.1,126,-31.5,-31.5,37.7,3,40.1,126,70,43.5,136.5,-24.4,-24.4,46.8,3.8,43.5,136.5,71,43.8,137.6,-25.2,-25.2,47.1,3.8,43.8,137.6,68,45,141.3,-21.9,-21.9,45.5,3.7,44.6,140,69,45.8,143.7,-22.8,-22.8,46.3,3.7,45.7,143.6,,,,,,,,,,,,,,,,,,
0309/009,156 GEARY ST,156 GEARY ST,94108,"156 GEARY ST
SAN FRANCISCO, CA 94108",11351,Retail Store,http://propertymap.sfplanning.org/?&search=0309/009,1907,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,75,235.5,69.9,69.9,69.4,6.1,75,235.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309/010,166 Geary St.,166 GEARY ST,94108,"166 GEARY ST
SAN FRANCISCO, CA 94108",45203,Office,http://propertymap.sfplanning.org/?&search=0309/010,1907,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,92,36.1,101.9,-49.3,-49.3,128.9,2.9,37,103,91,42.6,106.8,-46.2,-46.2,147.4,3.3,47.1,112.3,90,41.7,110.9,-45.5,-45.4,166.2,3.7,41.9,111,,,,,,,,,,,,,,,,,,
0309/011,212 Stockton Street,212 STOCKTON ST,94108,"212 STOCKTON ST
SAN FRANCISCO, CA 94108",42236,Retail Store,http://propertymap.sfplanning.org/?&search=0309/011,1987,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,48,44.1,138.2,2.1,2.1,141.1,3.3,44.1,138.2,46,43.7,137.1,4.5,4.5,139.9,3.3,43.7,137.1,46,45.1,141.6,4.4,4.4,155.3,3.7,45.1,141.6,22,60.1,188.8,43.4,43.4,207.1,4.9,60.1,188.8,38,50.9,159.6,15.4,15.4,175.2,4.1,50.9,159.6,3,92.8,309.4,121.8,,355.75,,92.8,309.4,,,,,,,,,
0309/014,Town and Country Club,218 STOCKTON ST,94108,"218 STOCKTON ST
SAN FRANCISCO, CA 94108",15237,Office,http://propertymap.sfplanning.org/?&search=0309/014,1908,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,38,52.4,97.4,12.9,12.9,52.9,3.5,52.4,97.4,39,55.1,102.7,12.5,12.5,59,3.9,56.1,103.9,79,44.2,84.1,-31.4,-31.4,56,3,44.2,84.1,81,41.7,79.7,-33.4,-33.4,52.8,2.9,41.7,79.7,93,26.5,61.6,-50.5,-50.4,36.3,2,26.5,61.6,,,,,,,,,,,,,,,,,,
0309/017,233 POST ST,233 POST ST,94108,"233 POST ST
SAN FRANCISCO, CA 94108",21206,Office,http://propertymap.sfplanning.org/?&search=0309/017,1908,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,95,34.1,93,-54,-54,51.6,2.4,34.5,93.4,91,39.1,103.9,-47.7,-47.7,65.5,3.1,39.1,103.9,88,42,115.6,-42.8,-42.8,67.9,3.2,42,115.6,90,38.7,108.3,-45.7,-45.7,63.1,3,38.7,108.3,99,26,68.2,-66.5,-66.5,41.1,1.9,26,68.2,,,,,,,,,,,,,,,,,,
0309/020,240 Stockton,234 STOCKTON ST,94108,"234 STOCKTON ST
SAN FRANCISCO, CA 94108",48934,Office,http://propertymap.sfplanning.org/?&search=0309/020,1908,2018-04-01T00:00:00.000,Did Not Comply,Complied,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,94,38.2,101.1,-55.2,-55.2,137.2,2.8,39.6,102.7,,,,,,,,,,54,65,185.4,-5.5,-5.5,252.2,5.2,66,186.5,53,66,194,-3.5,-3.5,258.3,5.3,66.9,195.2,94,38.2,97.2,-53.8,-53.8,126.7,2.9,38.2,97.3,94,40,98.9,-53.5,-53.5,131.7,3.1,40,98.9,,,,,,,,,
0309/021,250 STOCKTON ST,250 STOCKTON ST,94108,"250 STOCKTON ST
SAN FRANCISCO, CA 94108",20986,Office,http://propertymap.sfplanning.org/?&search=0309/021,1908,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,66,35.1,110.4,-17.3,-17.3,55.9,2.7,34.6,108.6,61,36.4,114.3,-12.1,-12.1,66.3,3.2,36.4,114.3,82,30.5,95.7,-34.8,-34.8,52.2,2.5,30.1,94.6,100,8.1,25.5,-82.5,-82.5,13.9,0.7,8.1,25.5,100,8.5,26.8,-81.8,-81.8,14.6,0.7,8.5,26.8,,,,,,,,,,,,,,,,,,
0309/022,275 Post,275 POST ST,94108,"275 POST ST
SAN FRANCISCO, CA 94108",13081,Office,http://propertymap.sfplanning.org/?&search=0309/022,1909,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,39,73.3,148.7,12.1,12.1,61.1,4.7,76.9,152.6,29,79.8,163.7,25.3,25.3,72.3,5.5,87.2,171.5,35,72.2,156.1,17.5,17.5,64.5,4.9,76.6,160.7,23,80,175.7,34.7,34.7,71.9,5.5,84.4,180.3,7,106.6,240.5,77.8,77.8,97,7.4,106.6,240.5,,,,,,,,,,,,,,,,,,
0309/023,"Young Chi Shing, Inc.",259 POST ST,94108,"259 POST ST
SAN FRANCISCO, CA 94108",64800,Office,http://propertymap.sfplanning.org/?&search=0309/023,1909,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,34,88.1,199.6,17.6,17.6,408.8,6.3,87.5,197.6,36,76.8,191.4,15.2,15.2,397.8,6.1,76.1,189.5,42,72.7,183.7,8.2,8.2,361.6,5.6,74,185.2,40,70.2,184.2,10.4,10.4,352.6,5.4,71.1,183.7,42,68.4,177,8.6,8.6,390.6,6,68.6,177.2,49,68,175,0.3,,381.54,,66.4,173,42,74.7,,8,,418.04,,70.5,
0309/024,251 Post Street,251 POST ST,94108,"251 POST ST
SAN FRANCISCO, CA 94108",44573,Office,http://propertymap.sfplanning.org/?&search=0309/024,1908,2018-04-01T00:00:00.000,Exempt - LEED EBOM,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,99,20.2,51.2,-68.7,-68.7,69.2,1.6,20.2,51.2,99,18.6,53.4,-66.9,-66.9,65.9,1.5,18.6,53.4,99,17.3,51,-69.3,-69.3,61.7,1.4,17.3,51.1,79,41.6,124.3,-30.5,,164.78,,41.2,123.9,,,,,,,,,
0309/027,225 POST ST,225 POST ST,94108,"225 POST ST
SAN FRANCISCO, CA 94108",17335,Retail Store,http://propertymap.sfplanning.org/?&search=0309/027,1909,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,21,68.5,215.1,44.9,44.9,103,5.9,68.5,215.1,19,72.5,227.7,,,102.5,5.9,72.5,227.7,53,47,147.6,-4.1,-4.1,66.4,3.8,47,147.6,20,74.9,235.3,46.6,46.6,105.9,6.1,74.9,235.3,,,,,,,,,,,,,,,,,,
0309/028,111 Maiden Lane,130 GEARY ST,94108,"130 GEARY ST
SAN FRANCISCO, CA 94108",91299,Office,http://propertymap.sfplanning.org/?&search=0309/028,1984,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,86,48.7,118.9,-40.8,-40.8,303.5,3.3,48.7,118.9,79,52.4,134.3,-31.8,-31.8,370.8,4.1,51.7,132,87,37.6,118.1,-41.1,-41.1,279.9,3.1,37,116.1,,46.5,135.8,-8.3,-8.3,333.4,3.7,,,,40.8,103.1,-30.4,-30.4,272.6,3,40.8,103.1,,42.4,108.7,-26.6,-26.6,285.5,3.1,42.5,110,,43.2,109.8,-25.8,-25.8,289.6,3.2,42.9,109.5
0310/001,101 POST ST,101 POST ST,94108,"101 POST ST
SAN FRANCISCO, CA 94108",17090,Financial Office,http://propertymap.sfplanning.org/?&search=0310/001,1969,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,34,100.3,270.1,18.4,18.4,126.2,7.4,103.1,273.5,23,112.2,302.7,34.7,34.7,141.3,8.3,112.2,302.7,18,130.5,330.5,,,171.3,10,128.9,325.5,,92.8,290.6,96.3,96.3,129.2,7.6,89.8,281,,82.6,258.5,74.6,74.6,115,6.7,82.6,258.5,,,,,,,,,,,,,,,,,,
