Total Primary Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.TETCBUS.M
08:49:08 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TETCBUS.M Trillion Btu
Oct 2001,7723.42
Sep 2001,7406.407
Aug 2001,8309.177
Jul 2001,8149.902
Jun 2001,7657.916
May 2001,7634.33
Apr 2001,7644.096
Mar 2001,8478.752
Feb 2001,8076.539
Jan 2001,9232.643
Dec 2000,9202.865
Nov 2000,7945.917
Oct 2000,7766.954
Sep 2000,7698.591
Aug 2000,8548.824
Jul 2000,8236.269
Jun 2000,8008.679
May 2000,8031.61
Apr 2000,7675.241
Mar 2000,8299.973
Feb 2000,8408.733
Jan 2000,8952.552
Dec 1999,8677.385
Nov 1999,7639.148
Oct 1999,7719.808
Sep 1999,7616.185
Aug 1999,8382.839
Jul 1999,8374.699
Jun 1999,7809.606
May 1999,7627.869
Apr 1999,7661.381
Mar 1999,8374.956
Feb 1999,7813.917
Jan 1999,8916.761
Dec 1998,8473.946
Nov 1998,7511.035
Oct 1998,7613.624
Sep 1998,7619.267
Aug 1998,8230.509
Jul 1998,8280.961
Jun 1998,7719.457
May 1998,7579.487
Apr 1998,7515.048
Mar 1998,8174.686
Feb 1998,7650.204
Jan 1998,8613.349
Dec 1997,8612.464
Nov 1997,7754.95
Oct 1997,7682.068
Sep 1997,7417.608
Aug 1997,7914.987
Jul 1997,8096.186
Jun 1997,7470.765
May 1997,7481.764
Apr 1997,7528.444
Mar 1997,7990.105
Feb 1997,7792.359
Jan 1997,8829.387
Dec 1996,8411.304
Nov 1996,7801.33
Oct 1996,7622.8
Sep 1996,7151.97
Aug 1996,7874.803
Jul 1996,7763.058
Jun 1996,7450.954
May 1996,7467.868
Apr 1996,7367.168
Mar 1996,8197.535
Feb 1996,8109.506
Jan 1996,8781.981
Dec 1995,8415.663
Nov 1995,7577.392
Oct 1995,7229.695
Sep 1995,7140.889
Aug 1995,7922.336
Jul 1995,7630.432
Jun 1995,7235.883
May 1995,7155.399
Apr 1995,7110.691
Mar 1995,7746
Feb 1995,7600.222
Jan 1995,8226.193
Dec 1994,8008.857
Nov 1994,7152.79
Oct 1994,7075.223
Sep 1994,6886.16
Aug 1994,7477.23
Jul 1994,7395.024
Jun 1994,7166.432
May 1994,6890.507
Apr 1994,6983.321
Mar 1994,7668.421
Feb 1994,7746.401
Jan 1994,8589.797
Dec 1993,8022.313
Nov 1993,7285.727
Oct 1993,6988.178
Sep 1993,6819.004
Aug 1993,7337.386
Jul 1993,7313.062
Jun 1993,6847.311
May 1993,6650.483
Apr 1993,6907.476
Mar 1993,7816.592
Feb 1993,7424.598
Jan 1993,7912.456
Dec 1992,8049.21
Nov 1992,7083.547
Oct 1992,6906.882
Sep 1992,6686.894
Aug 1992,7033.411
Jul 1992,7164.272
Jun 1992,6719.321
May 1992,6702.403
Apr 1992,6845.997
Mar 1992,7353.583
Feb 1992,7247.705
Jan 1992,7988.956
Dec 1991,7688.591
Nov 1991,7011.114
Oct 1991,6862.825
Sep 1991,6662.225
Aug 1991,7117.701
Jul 1991,7102.868
Jun 1991,6702.509
May 1991,6659.213
Apr 1991,6540.723
Mar 1991,7144.066
