Total Renewable Energy Consumption Monthly
https://www.eia.gov/opendata/qb.php?category=711238&sdid=TOTAL.RETCBUS.M
09:04:25 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.RETCBUS.M Trillion Btu
Oct 2008,553.915
Sep 2008,532.783
Aug 2008,597.394
Jul 2008,645.877
Jun 2008,673.874
May 2008,664.841
Apr 2008,606.341
Mar 2008,596.797
Feb 2008,541.627
Jan 2008,593.576
Dec 2007,549.778
Nov 2007,501.338
Oct 2007,503.546
Sep 2007,482.331
Aug 2007,542.241
Jul 2007,561.445
Jun 2007,557.915
May 2007,593.537
Apr 2007,565.746
Mar 2007,577.029
Feb 2007,490.97
Jan 2007,596.989
Dec 2006,548.315
Nov 2006,522.558
Oct 2006,496.677
Sep 2006,484.003
Aug 2006,537.108
Jul 2006,573.928
Jun 2006,608.243
May 2006,618.051
Apr 2006,579.684
Mar 2006,551.689
Feb 2006,526.99
Jan 2006,589.448
Dec 2005,529.692
Nov 2005,486.937
Oct 2005,477.071
Sep 2005,464.644
Aug 2005,517.274
Jul 2005,562.518
Jun 2005,562.19
May 2005,568.348
Apr 2005,513.723
Mar 2005,523.94
Feb 2005,489.156
Jan 2005,537.94
Dec 2004,558.834
Nov 2004,485.639
Oct 2004,474.121
Sep 2004,480.217
Aug 2004,502.414
Jul 2004,523.999
Jun 2004,534.455
May 2004,523.17
Apr 2004,489.899
Mar 2004,510.784
Feb 2004,475.944
Jan 2004,515.171
Dec 2003,526.215
Nov 2003,463.79
Oct 2003,452.108
Sep 2003,445.411
Aug 2003,502.364
Jul 2003,523.839
Jun 2003,548.216
May 2003,557.675
Apr 2003,509.854
Mar 2003,506.109
Feb 2003,440.756
Jan 2003,467.759
Dec 2002,488.097
Nov 2002,458.055
Oct 2002,445.355
Sep 2002,431.005
Aug 2002,469.217
Jul 2002,525.788
Jun 2002,532.998
May 2002,527.243
Apr 2002,488.02
Mar 2002,456.493
Feb 2002,428.791
Jan 2002,474.995
Dec 2001,448.477
Nov 2001,401.013
Oct 2001,412.271
Sep 2001,395.828
Aug 2001,445.553
Jul 2001,438.436
Jun 2001,451.259
May 2001,434.866
Apr 2001,424.534
Mar 2001,456.134
Feb 2001,404.48
Jan 2001,447.068
Dec 2000,479.066
Nov 2000,484.428
Oct 2000,469.432
Sep 2000,443.549
Aug 2000,505.423
Jul 2000,525.592
Jun 2000,507.743
May 2000,558.824
Apr 2000,567.147
Mar 2000,558.474
Feb 2000,498.993
Jan 2000,505.523
Dec 1999,516.683
Nov 1999,494.454
Oct 1999,457.248
Sep 1999,481.255
Aug 1999,546.587
Jul 1999,593.633
Jun 1999,573.248
May 1999,608.939
Apr 1999,549.27
Mar 1999,563.732
Feb 1999,533.099
Jan 1999,595.564
Dec 1998,554.214
Nov 1998,455.64
Oct 1998,486.804
Sep 1998,486.754
Aug 1998,537.237
Jul 1998,565.732
Jun 1998,537.591
May 1998,605.817
Apr 1998,548.684
Mar 1998,586.494
Feb 1998,535.205
Jan 1998,591.093
Dec 1997,542.303
Nov 1997,526.707
Oct 1997,582.307
Sep 1997,512.464
Aug 1997,567.061
Jul 1997,611.055
Jun 1997,607.072
May 1997,640.215
Apr 1997,603.642
Mar 1997,628.711
Feb 1997,563.436
Jan 1997,629.124
Dec 1996,597.216
Nov 1996,561.212
Oct 1996,567.216
Sep 1996,512.559
Aug 1996,594.955
Jul 1996,610
Jun 1996,608.156
May 1996,595.774
Apr 1996,556.118
Mar 1996,628.61
Feb 1996,572.902
Jan 1996,607.653
Dec 1995,586.125
Nov 1995,559.121
Oct 1995,560.884
Sep 1995,499.533
Aug 1995,580.328
Jul 1995,600.262
Jun 1995,561.167
May 1995,532.006
Apr 1995,536.243
Mar 1995,550.606
Feb 1995,477.657
Jan 1995,515.415
Dec 1994,512.935
Nov 1994,482.582
Oct 1994,477.801
Sep 1994,430.609
Aug 1994,484.574
Jul 1994,537.962
Jun 1994,496.826
May 1994,494.382
Apr 1994,516.485
Mar 1994,530.778
Feb 1994,475.199
Jan 1994,546.99
Dec 1993,519.573
Nov 1993,483.796
Oct 1993,468.915
Sep 1993,462.232
Aug 1993,501.473
Jul 1993,491.492
Jun 1993,506.204
May 1993,536.098
Apr 1993,526.702
Mar 1993,543.534
Feb 1993,477.728
Jan 1993,563.872
Dec 1992,545.911
Nov 1992,498.63
Oct 1992,472.678
Sep 1992,458.261
Aug 1992,491.439
Jul 1992,486.975
Jun 1992,497.879
May 1992,455.237
Apr 1992,445.952
Mar 1992,482.781
Feb 1992,449.193
Jan 1992,535.605
Dec 1991,528.58
Nov 1991,467.742
Oct 1991,467.134
Sep 1991,491.721
Aug 1991,512.228
Jul 1991,499.533
Jun 1991,513.637
May 1991,540.587
Apr 1991,492.911
Mar 1991,519.108
Feb 1991,465.116
Jan 1991,569.476
Dec 1990,528.926
Nov 1990,459.565
Oct 1990,460.198
Sep 1990,447.348
Aug 1990,497.454
Jul 1990,499.494
Jun 1990,503.361
May 1990,525.672
Apr 1990,530.429
Mar 1990,567.934
Feb 1990,508.36
Jan 1990,511.271
Dec 1989,533.841
Nov 1989,521.324
Oct 1989,511.059
Sep 1989,487.948
Aug 1989,513.153
Jul 1989,525.097
Jun 1989,546.135
May 1989,562.7
Apr 1989,530.096
Mar 1989,532.715
Feb 1989,461.434
Jan 1989,509.146
Dec 1988,472.132
Nov 1988,448.903
Oct 1988,422.602
Sep 1988,426.312
Aug 1988,437.214
Jul 1988,442.602
Jun 1988,453.891
May 1988,486.212
Apr 1988,455.993
Mar 1988,469.098
Feb 1988,446.663
Jan 1988,495.132
Dec 1987,475.58
Nov 1987,423.208
Oct 1987,442.655
Sep 1987,437.201
Aug 1987,448.986
Jul 1987,467.691
Jun 1987,466.873
May 1987,509.032
Apr 1987,477.656
Mar 1987,498.782
Feb 1987,452.878
Jan 1987,521.265
Dec 1986,532.346
Nov 1986,492.321
Oct 1986,482.113
Sep 1986,472.114
Aug 1986,482.847
Jul 1986,513.292
Jun 1986,527.412
May 1986,545.072
Apr 1986,539.897
Mar 1986,558.538
Feb 1986,479.122
Jan 1986,486.064
Dec 1985,533.96
Nov 1985,499.606
Oct 1985,475.406
Sep 1985,454.274
Aug 1985,475.912
Jul 1985,489.577
Jun 1985,507.33
May 1985,542.968
Apr 1985,512.937
Mar 1985,525.002
Feb 1985,511.838
Jan 1985,555.205
Dec 1984,532.347
Nov 1984,486.11
Oct 1984,479.62
Sep 1984,470.91
Aug 1984,524.053
Jul 1984,547.618
Jun 1984,553.321
May 1984,593.504
Apr 1984,566.019
Mar 1984,579.04
Feb 1984,535.239
Jan 1984,570.081
Dec 1983,587.773
Nov 1983,507.035
Oct 1983,474.251
Sep 1983,476.173
Aug 1983,528.288
Jul 1983,550.993
Jun 1983,569.493
May 1983,581.741
Apr 1983,561.458
Mar 1983,572.853
Feb 1983,523.276
Jan 1983,562.279
Dec 1982,522.93
Nov 1982,469.93
Oct 1982,439.874
Sep 1982,433.748
Aug 1982,483.203
Jul 1982,519.267
Jun 1982,518.974
May 1982,525.795
Apr 1982,517.128
Mar 1982,544.724
Feb 1982,489.624
Jan 1982,514.44
Dec 1981,477.024
Nov 1981,418.476
Oct 1981,416.966
Sep 1981,407.22
Aug 1981,454.028
Jul 1981,491.304
Jun 1981,496.995
May 1981,480.423
Apr 1981,438.02
Mar 1981,443.808
Feb 1981,427.043
Jan 1981,462.381
Dec 1980,448.546
Nov 1980,409.876
Oct 1980,402.564
Sep 1980,401.712
Aug 1980,429.358
Jul 1980,471.331
Jun 1980,497.768
May 1980,517.456
Apr 1980,477.356
Mar 1980,469.134
Feb 1980,424.298
Jan 1980,478.943
Dec 1979,425.109
Nov 1979,414.74
Oct 1979,397.602
Sep 1979,378.903
Aug 1979,409.21
Jul 1979,424.513
Jun 1979,441.683
May 1979,489.08
Apr 1979,445.932
Mar 1979,457.799
Feb 1979,390.487
Jan 1979,447.796
Dec 1978,407.564
Nov 1978,379.078
Oct 1978,379.436
Sep 1978,392.287
Aug 1978,408.417
Jul 1978,431.461
Jun 1978,432.628
May 1978,475.883
Apr 1978,434.379
Mar 1978,433.459
Feb 1978,391.866
Jan 1978,438.983
Dec 1977,400.048
Nov 1977,370.168
Oct 1977,341.368
Sep 1977,328.075
Aug 1977,335.881
Jul 1977,336.903
Jun 1977,336.485
May 1977,356.923
Apr 1977,351.301
Mar 1977,368.966
Feb 1977,304.328
Jan 1977,378.521
Dec 1976,360.834
Nov 1976,351.386
Oct 1976,369.186
Sep 1976,356.984
Aug 1976,398.129
Jul 1976,421.425
Jun 1976,411.555
May 1976,415.728
Apr 1976,396.931
Mar 1976,427.044
Feb 1976,396.173
Jan 1976,421.775
Dec 1975,403.696
Nov 1975,383.196
Oct 1975,368.786
Sep 1975,341.957
Aug 1975,368.23
Jul 1975,398.459
Jun 1975,411.622
May 1975,421.283
Apr 1975,405.368
Mar 1975,423.49
Feb 1975,368.278
Jan 1975,392.756
Dec 1974,376.642
Nov 1974,351.633
Oct 1974,343.703
Sep 1974,353.91
Aug 1974,386.101
Jul 1974,409.719
Jun 1974,409.281
May 1974,427.657
Apr 1974,422.323
Mar 1974,423.474
Feb 1974,399.942
Jan 1974,437.467
Dec 1973,406.694
Nov 1973,337.817
Oct 1973,323.453
Sep 1973,307.006
Aug 1973,353.757
Jul 1973,367.325
Jun 1973,377.232
May 1973,392.141
Apr 1973,380.47
Mar 1973,400.161
Feb 1973,360.9
Jan 1973,403.981
