Hydroelectric Power Consumption per Production Monthly
https://www.eia.gov/opendata/qb.php?category=711240&sdid=TOTAL.HVTCBUS.M
09:54:44 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.HVTCBUS.M Trillion Btu
Feb 1990,262.555
Jan 1990,253.277
Dec 1989,233.595
Nov 1989,226.777
Oct 1989,214.892
Sep 1989,202.515
Aug 1989,216.086
Jul 1989,242.678
Jun 1989,277.046
May 1989,300.24
Apr 1989,257.728
Mar 1989,242.358
Feb 1989,199.31
Jan 1989,224.04
Dec 1988,208.016
Nov 1988,192.932
Oct 1988,158.144
Sep 1988,170.174
Aug 1988,172.238
Jul 1988,177.42
Jun 1988,197.723
May 1988,222.701
Apr 1988,200.293
Mar 1988,204.359
Feb 1988,199.789
Jan 1988,230.477
Dec 1987,222.161
Nov 1987,177.943
Oct 1987,189.215
Sep 1987,191.635
Aug 1987,194.652
Jul 1987,213.34
Jun 1987,220.689
May 1987,255.627
Apr 1987,232.573
Mar 1987,245.143
Feb 1987,223.722
Jan 1987,267.809
Dec 1986,273.692
Nov 1986,244.175
Oct 1986,225.018
Sep 1986,222.779
Aug 1986,223.81
Jul 1986,254.396
Jun 1986,277.26
May 1986,287.656
Apr 1986,290.609
Mar 1986,300.28
Feb 1986,245.152
Jan 1986,226.352
Dec 1985,267.386
Nov 1985,242.115
Oct 1985,211.589
Sep 1985,198.288
Aug 1985,211.206
Jul 1985,225.387
Jun 1985,252.373
May 1985,279.498
Apr 1985,258.039
Mar 1985,260.344
Feb 1985,273.175
Jan 1985,290.793
Dec 1984,272.166
Nov 1984,234.699
Oct 1984,220.205
Sep 1984,220.536
Aug 1984,264.894
Jul 1984,289.982
Jun 1984,303.719
May 1984,335.607
Apr 1984,315.985
Mar 1984,320.67
Feb 1984,293.845
Jan 1984,313.504
Dec 1983,335.876
Nov 1983,261.94
Oct 1983,220.423
Sep 1983,230.65
Aug 1983,274.189
Jul 1983,298.715
Jun 1983,326.237
May 1983,331.656
Apr 1983,318.603
Mar 1983,321.73
Feb 1983,296.625
Jan 1983,310.615
Dec 1982,292.668
Nov 1982,245.861
Oct 1982,208.623
Sep 1982,210.219
Aug 1982,252.259
Jul 1982,288.273
Jun 1982,295.552
May 1982,295.887
Apr 1982,295.061
Mar 1982,315.347
Feb 1982,281.593
Jan 1982,284.215
Dec 1981,252.071
Nov 1981,200.541
Oct 1981,191.231
Sep 1981,188.516
Aug 1981,228.409
Jul 1981,265.656
Jun 1981,278.976
May 1981,255.2
Apr 1981,219.717
Mar 1981,217.976
Feb 1981,223.123
Jan 1981,236.553
Dec 1980,233.998
Nov 1980,201.929
Oct 1980,187.73
Sep 1980,194.301
Aug 1980,214.693
Jul 1980,257.106
Jun 1980,290.604
May 1980,303.305
Apr 1980,270.552
Mar 1980,255.676
Feb 1980,224.631
Jan 1980,265.618
Dec 1979,238.063
Nov 1979,234.286
Oct 1979,211.243
Sep 1979,198.794
Aug 1979,222.695
Jul 1979,238.414
Jun 1979,261.646
May 1979,303.134
Apr 1979,265.941
Mar 1979,271.516
Feb 1979,222.855
Jan 1979,262.096
Dec 1978,231.275
Nov 1978,208.974
Oct 1978,204.012
Sep 1978,221.801
Aug 1978,232.357
Jul 1978,256.107
Jun 1978,263.109
May 1978,301.188
Apr 1978,265.041
Mar 1978,257.965
Feb 1978,232.625
Jan 1978,262.529
Dec 1977,240.826
Nov 1977,215.864
Oct 1977,181.908
Sep 1977,173.821
Aug 1977,176.863
Jul 1977,177.779
Jun 1977,182.303
May 1977,197.656
Apr 1977,197.287
Mar 1977,209.549
Feb 1977,160.329
Jan 1977,219.069
Dec 1976,212.507
Nov 1976,208.138
Oct 1976,220.99
Sep 1976,213.376
Aug 1976,249.759
Jul 1976,273.026
Jun 1976,268.088
May 1976,267.732
Apr 1976,253.482
Mar 1976,278.567
Feb 1976,257.277
Jan 1976,273.323
Dec 1975,272.99
Nov 1975,256.706
Oct 1975,238.068
Sep 1975,215.793
Aug 1975,237.557
Jul 1975,268.081
Jun 1975,285.31
May 1975,291.504
Apr 1975,279.947
Mar 1975,293.961
Feb 1975,251.317
Jan 1975,263.371
Dec 1974,243.428
Nov 1974,222.713
Oct 1974,210.955
Sep 1974,225.274
Aug 1974,253.175
Jul 1974,276.772
Jun 1974,280.695
May 1974,294.828
Apr 1974,293.702
Mar 1974,290.582
Feb 1974,279.95
Jan 1974,304.506
Dec 1973,274.435
Nov 1973,210.285
Oct 1973,191.723
Sep 1973,179.733
Aug 1973,222.077
Jul 1973,235.67
Jun 1973,249.859
May 1973,260.77
Apr 1973,253.185
Mar 1973,268.81
Feb 1973,242.199
Jan 1973,272.703
