Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
1-4 Maple Court,Compliant,Multifamily Housing,"1 Maple Court, Suite B",02121,125926,28.4,,,"Multifamily Housing, Office, Social/Meeting Hall",1999,195,1.5,3578406.3,0.058814905,0.941187536,,19.46,,"Although property was originally built around 1920, it underwent a gut rehab in 1999, at which point the current usage consisting of 36 apartments, offices, and community space was established.  We have therefore used 1999 as our ""built"" date, as we have no information on how many apartments, etc., were in use at what points in time between 1920 and 1999.  Also, we have estimated the square footage information.  There is also a maintenance shop, a laundry, and unfinished basement space.",,002424-000,"2018, "
Mission Main III - 1 McGreevey Way,Compliant,Multifamily Housing,1 McGreevey Way,02120,30926,64,,,"Multifamily Housing, Parking",2000,117,3.8,1978890.5,0.254114299,0.745896255,,64.5,,,,1000001035,"2018, "
MA048_Avalon North Station,Compliant,Multifamily Housing,1 Nashua Street,02114,536912,48.6,79,,Multifamily Housing,2017,1711.1,3.2,26111343.5,0.527032011,0.472989807,,12.68,,,,301922050,"2018, "
The Metropolitan: 1 Nassau Street,Compliant,Multifamily Housing,1 Nassau St,02111,350000,63.9,22,,Multifamily Housing,2001,1458.4,4.2,22379987.8,0.511540152,0.488481022,,41.52,,"2 gas fired absorption chillers for heating, dhw, ac to individual 2 pipe Whalen units; electricity is separately metered for floor 2 - paid FOR those residents.
Gross sq ft estimated with bldg footprint of 160ftx70ft, 23 stories.
251 units in total, 81 affordable",,305424030,"2015, 2016, 2017, 2018, "
Nazing Court,Compliant,Multifamily Housing,1 Nazing Court,02121,113131,89.2,30,,Multifamily Housing,1929,614.5,5.4,10096266.5,0.328860769,0.671152838,,53.55,,,,"1202367000	1202365000","2016, 2017, 2018, "
1 Palace Rd-collegeUniversity,Compliant,College/University,1 Palace Rd,02115,110327,132,,,College/University,1995,1116.5,10.1,14562313.5,1.000041379,,,Not Available,,,,401844000,"2014, 2015, 2016, 2017, 2018, "
One Palace Road,Compliant,College/University,1 Palace Road,02115,60000,Not Available,,,College/University,2002,0,0,Not Available,,,,11.79,,,,401842000,"2015, 2016, 2017, 2018, "
One Palace Road Garage,Compliant,Parking,1 Palace Road,02115,87840,Not Available,,,Parking,2002,0,0,Not Available,,,,Not Available,,,,401842000,"2015, 2016, 2017, 2018, "
"Legal Sea Foods, LLC",Compliant,Distribution Center,1 Seafood Way,02210,75000,212.9,4,,Distribution Center,2003,1013.2,13.5,15964032.3,0.439454056,0.560564128,,121.39,,,,602674000,"2015, 2016, 2018, "
One State,Compliant,Office,1 State Street,02109,64428,Not Available,,,Office,1928,Not Available,Not Available,Not Available,,,,Not Available,,,,303899000,"2014, 2015, 2017, 2018, "
The Nautica Condominium Leasehold Trust,Compliant,Multifamily Housing,1 Warren St,02129,150977,64,77,,"Multifamily Housing, Parking",2000,632.6,4.2,9657056.4,0.526088535,0.473933244,,43.75,,,,203520010,"2015, 2016, 2017, 2018, "
One Washington Mall,Compliant,Office,1 Washington Mall,02108,156169,Not Available,,,"Office, Retail Store",1972,Not Available,Not Available,Not Available,,,,6.78,,,,302890000,"2014, 2015, 2016, 2017, 2018, "
One Winthrop Square,Compliant,Office,1 Winthrop Square,02110,114257,67.3,87,"2018, 2017, 2016, 2015",Office,1873,514.9,4.5,7692744.4,0.586765125,0.413259168,,11.26,,,,304618000,"2014, 2015, 2016, 2017, 2018, "
MURPHY,Municipal ,K-12 School,1 Worrell St.,02122,147548,95.4,66,,"K-12 School, Swimming Pool",1973,788.9,5.3,14076748.6,0.124430207,0.875574944,,Not Available,,,,1600261000,"2016, 2017, 2018, "
The 10 Jamaicaway Condo Trust,Compliant,Multifamily Housing,10  Jamaicaway,02130,21976,99.6,71,,Multifamily Housing,1928,122.8,5.6,2189008.1,0.126641581,0.873363674,,38.09,,,,1001390000,"2018, "
Bowdoin  Place Condominium,Compliant,Multifamily Housing,10 Bowdoin Street,02114,112888,4,100,,Multifamily Housing,2004,34.5,0.3,449346.7,1.000041626,,,19.43,,,,302726010,"2015, 2016, 2017, 2018, "
10 Buick Street,Compliant,Residence Hall/Dormitory,10 Buick Street,02215,384971,145.8,9,,Residence Hall/Dormitory,2000,3502.1,9.1,56127327.6,0.425303801,0.5747138,,38.11,,,,2100401000,"2014, 2015, 2016, 2017, 2018, "
Camelot Court,Compliant,Multifamily Housing,10 Camelot Court,02135,137291,60.4,96,,Multifamily Housing,1900,483.6,3.5,8295852.6,0.22005081,0.779958288,,20.33,,,,2101267000,"2015, 2016, 2017, 2018, "
MA0153ZZ - TP O'NEILL FED BLDG,Voluntary,Office,10 CAUSEWAY STREET,02222,773445,39.4,97,"2014, 2012, 2011, 2005, 2000","Office, Parking",1986,2163.4,2.8,30481467.5,0.763907253,0.23360979,,5.99,22464.2,,,301920000,"2014, 2015, 2016, 2018, "
10/20 Channel Center,Compliant,Office,10 Channel Center Street,02210,251443,52.8,89,,Office,1920,1017.2,4,13266474.1,1.000041393,,,14.09,,,,0602757030 0602757045,"2014, 2015, 2016, 2017, 2018, "
10 City Square,Compliant,Office,10 City Square,02129,44000,95.8,33,,"Office, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",1978,286.5,6.5,4214782.4,0.63120334,0.368822739,,31.51,,"The Appalachian Mountain Club purchased the building in December of 2016, moving its headquarters to the building in September of 2017. Significant construction and renovations occurred throughout 2017.",,203627000,"2018, "
10 Coventry Street,Compliant,College/University,10 Coventry Street,02115,69739,39.9,,,College/University,2004,181.9,2.6,2785356.4,0.517569619,0.482451747,,26.47,,,,901381010,"2014, 2015, 2016, 2017, 2018, "
Dorchester House Apartments: 10 Ellet Street,Compliant,Multifamily Housing,10 Ellet St,02122,59400,51.6,71,,Multifamily Housing,1983,215,3.6,3066479.9,0.721243342,0.278786468,,49.22,,,,1500550000,"2015, 2016, 2017, 2018, "
FARRAGUT,Municipal ,K-12 School,10 Fenwood Rd.,02115,35055,47.3,97,,K-12 School,1904,97.5,2.8,1658566.5,0.241987982,0.758022067,,Not Available,,,,1000269000,"2016, 2017, 2018, "
East Boston Neighborhood Health Center,Compliant,Urgent Care/Clinic/Other Outpatient,10 Gove St,02128,57458,161,,,Urgent Care/Clinic/Other Outpatient,1978,591.7,10.3,9251867.7,0.460049201,0.539969853,,37.28,,,,105815000,"2014, 2015, 2017, 2018, "
10 Guest St,Compliant,Other - Education,10 Guest St,02135,199600,Not Available,,,Other - Education,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,2201906010,"2015, 2016, 2017, 2018, "
Loeb House,Compliant,Office,10 Harvard Way,02163,6067,35.3,95,,Office,1940,15,2.5,213963.6,0.348284239,,0.651729547,7.45,,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Connell, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
84SB5-The Westin Copley Place,Compliant,Hotel,10 Huntington Avenue,64108,787650,103.9,52,,Hotel,2000,9570.6,12.2,81817417.9,0.396873176,0.235766426,0.101961793,27,,,,401067010,"2014, 2015, 2016, 2017, 2018, "
Long Glen I,Compliant,Multifamily Housing,10 Long Ave,02134,50250,141.9,13,,Multifamily Housing,1902,391.4,7.8,7128377.2,0.081865526,0.918137876,,62.74,,,,2101070000,"2018, "
Mei Wah Village,Compliant,Multifamily Housing,10 Maple Place,02111,12534,130.6,73,,Multifamily Housing,1997,95,7.6,1636865.4,0.207770027,0.792238607,,139.31,,,,305478010,"2017, 2018, "
Cheverus School,Compliant,Senior Care Community,10 Moore Street,02128,45216,61.1,53,,"Parking, Senior Care Community",1900,167.8,3.7,2762891.7,0.322773464,0.677239907,,37.83,,,,100728000,"2017, 2018, "
10 Necco Street,Compliant,Parking,10 Necco Street,02038,160180,5.8,,,Parking,1980,59.9,0.4,781457.1,1.000041618,,,0.1,,,,601166070,"2017, 2018, "
The Eddy,Compliant,Multifamily Housing,10 New Street,02128,246242,61,53,,"Multifamily Housing, Parking",2016,977.9,4,15014704,0.510033238,0.489987865,,20.49,,,,01-05408-000 01-05408-001 01-05409-000 01-05410-000,"2018, "
10 PO Square,Compliant,Office,10 Post Office Square,02109,405797,73.8,80,,Office,1920,2010.8,5,29955491.1,0.594826786,0.40519783,,10.94,,,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016, 2018, "
Countway,Compliant,Library,10 Shattuck St,02115,162771,183.8,,,Library,1963,1920.4,11.8,29919540.4,0.221349518,,0.451132274,6.72,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,401882000,"2014, 2015, 2016, 2017, 2018, "
Miller Hall,Compliant,Residence Hall/Dormitory,10 Somerset Street,02108,131253,89.5,47,,Residence Hall/Dormitory,2004,813.1,6.2,11745024.6,0.454036017,0.138204572,0.407778201,32.33,,,,302803000,"2014, 2016, 2017, 2018, "
