BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
23047,2017,Residential,Seattle,WA,98133,1974,21552,Multifamily,25.600000381469698,25.0,80.5,78.5999984741211,552372.125,539144.8125,0.0,552372.0920000001,0.0
23049,2017,NonResidential,Seattle,WA,98108,1963,23260,Repair Serv,103.400001525879,99.8000030517578,180.399993896484,176.600006103516,2404623.0,2320712.25,0.0,799320.0169375,1605303.02734375
23050,2017,Residential,Seattle,WA,98106,1988,298714,Multifamily,32.7000007629395,32.4000015258789,100.199996948242,99.1999969482422,4783252.0,4738692.0,0.0,4601728.1475,181522.998046875
23051,2017,NonResidential,Seattle,WA,98106,1988,30659,Office,83.0,81.5,192.100006103516,190.5,3004587.5,2950109.5,0.0,1818304.274,1186283.0078125
23056,2017,NonResidential,SEATTLE,WQ,98109,1920,27144,Other,39.7000007629395,38.4000015258789,76.3000030517578,74.9000015258789,1077385.75,1041103.125,0.0,449461.7470625,627923.974609375
23064,2017,NonResidential,Seattle,WA,98133,1970,23166,Other,148.199996948242,144.300003051758,155.600006103516,151.5,3432370.0,3343131.0,0.0,3.07079991865158,3432366.796875
23071,2017,Specialty,Seattle,WA,98133,1966,668027,Hospital (G,207.699996948242,206.399993896484,399.799987792969,398.5,100438040.0,99810344.0,0.0,42045526.668000005,58392506.25
23074,2017,Residential,SEATTLE,WA,98133,1999,29810,Multifamily,56.9000015258789,55.5,178.600006103516,174.300003051758,2123997.0,2072519.75,0.0,2123996.65625,0.0
23075,2017,Residential,Seattle,WA,98133,1968,24163,Multifamily,23.7999992370605,22.899999618530302,74.9000015258789,72.0,576088.3125,553962.6875,0.0,576088.2109375,0.0
23076,2017,NonResidential,Seattle,WA,98133,1965,44719,Worship Fac,39.2999992370605,37.7000007629395,73.9000015258789,71.4000015258789,1882728.25,1804086.625,0.0,748414.3630625,1134313.96484375
23078,2017,Residential,Seatle,WA,98122,1972,20368,Multifamily,28.0,27.600000381469698,88.0,86.6999969482422,570667.1875,562688.8125,0.0,570667.236,0.0
23080,2017,Residential,Seattle,WA,98122,1927,22059,Multifamily,80.9000015258789,79.8000030517578,116.300003051758,115.099998474121,1784230.0,1760244.75,0.0,330751.7629375,1453478.02734375
23098,2017,NonResidential,Seattle,WA,98144,1965,21603,Supermarket,254.800003051758,254.100006103516,587.0,586.200012207031,5504763.0,5488612.5,0.0,3301695.5845,2203066.9921875
23101,2017,Residential,Seattle,WA,98119,1963,65538,Multifamily,40.4000015258789,39.5,122.400001525879,119.900001525879,2645239.0,2587845.0,0.0,2510251.68975,134986.987304688
23102,2017,Residential,Seattle,WA,98121,1980,125258,Multifamily,40.4000015258789,39.7999992370605,97.8000030517578,96.1999969482422,4906967.5,4843205.0,0.0,3225829.97775,1681136.9140625
23103,2017,Residential,Seattle,WA,98116,2000,26148,Multifamily,41.5,40.2999992370605,108.300003051758,105.800003051758,1085122.25,1054382.5,0.0,809497.319875,275625.024414063
23104,2017,Residential,Seattle,WA,98103,1988,24847,Multifamily,28.100000381469698,28.100000381469698,88.1999969482422,88.1999969482422,697992.6875,697992.6875,0.0,697992.520125,0.0
23105,2017,Residential,Seattle,WA,98126,1985,26827,Multifamily,36.7000007629395,35.9000015258789,115.099998474121,112.699996948242,819402.375,802463.3125,0.0,819402.355875,0.0
23106,2017,Residential,Seattle,WA,98126,1973,63414,Multifamily,37.2999992370605,36.7999992370605,92.5999984741211,92.1999969482422,2362263.0,2336339.75,0.0,1621980.886125,740281.982421875
23107,2017,Residential,Seattle,WA,98126,2000,68400,Multifamily,33.7000007629395,33.7000007629395,101.599998474121,101.599998474121,1148468.75,1148468.75,0.0,1080236.85425,68231.9946289063
23108,2017,Residential,Seattle,WA,98102,1986,25440,Multifamily,30.7000007629395,30.0,96.3000030517578,94.3000030517578,650148.5,636684.125,0.0,650148.389875,0.0
23109,2017,Residential,Seattle,WA,98144,1986,33331,Multifamily,29.0,28.5,91.1999969482422,89.4000015258789,807165.875,790864.6875,0.0,807165.9109375,0.0
23110,2017,Residential,Seattle,WA,98116,1968,68815,Multifamily,28.2999992370605,27.7999992370605,88.8000030517578,87.4000015258789,1946321.5,1914747.75,0.0,1946321.2345,0.0
23111,2017,Residential,Seattle,WA,98116,1994,31027,Multifamily,32.5,32.5,91.9000015258789,92.0,1089814.625,1090313.75,0.0,925832.552,163982.006835938
23113,2017,Specialty,Seattle,WA,98112,1964,882282,Medical Off,169.600006103516,166.600006103516,327.20001220703097,322.100006103516,100407080.0,98635408.0,0.0,42226871.056,58180206.25
23115,2017,NonResidential,Seattle,WA,98108,1979,42900,Distributio,11.1000003814697,10.8999996185303,34.9000015258789,34.0999984741211,478264.09375,467770.09375,0.0,478264.1450625,0.0
