OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,ComplianceStatus,Outlier
"21,904",2017,NonResidential,Small- and Mid-Sized Office,Northgate Exec Center A,115 NE 100th Street,Seattle,WA,98125,2434900010,5,NORTH,47.70079,-122.32714,1974,1,3,"39,927",0,"39,927","Office, Parking",Office,"39,541",Parking,0,,,,41,90.0999984741211,88.50,283.00,277.799987792969,"3,563,946.25","3,498,572",,"1,044,532.8125","3,563,945.95625",,,14.7444281213996,0.369284647516708,N,Compliant,
"21,905",2017,NonResidential,Other,Seattle Athletic Club,333 NE 97th,Seattle,WA,98115,2434900060,5,NORTH,47.69883,-122.32479,1979,1,1,"30,610",0,"30,610","Office, Other - Recreation",Other - Rec,"23,320",Office,"7,290",,,,,144.100006103516,144.100006103516,275.899993896484,276.00,"4,410,019.5","4,411,728.5",,"535,124.3125","1,825,844.15425","25,841.75","2,584,175.00",144.799248089573,4.7304556710086,N,Compliant,
"21,907",2017,NonResidential,Medical Office,North Seattle Professional Center,9730 3rd Avenue NE,Seattle,WA,98115,2434900090,5,NORTH,47.70007,-122.32533,1980,1,2,"26,930","6,350","20,580",Medical Office,Medical Off,"26,930",,,,,,67,36.7000007629395,36.7000007629395,115.300003051758,115.300003051758,"988,760.8125","988,760.8125",,"289,789.1875","988,760.70775",,,4.0906094995963,0.151897864819766,N,Compliant,
"21,909",2017,NonResidential,Medical Office,311 NGT Northgate Med,9800 4th Ave NE,Seattle,WA,98115,2434900130,5,NORTH,47.70087,-122.32379,1968,1,2,"38,745",0,"38,745","Medical Office, Parking",Medical Off,"65,069",Parking,0,,,,78,41.50,41.50,116.00,116.00,"2,702,922","2,703,367.5",,"660,322.875","2,253,021.6495","4,499.00","449,900.00",33.2151821280674,0.857276606738093,N,Compliant,
"21,913",2017,NonResidential,Self-Storage Facility,CORRY'S DRYCLEANING (ID21913),4640 UNION BAY PL NE,Seattle,WA,98105,2436200935,4,NORTHEAST,47.66353,-122.29505,1959,1,2,"20,296",0,"20,296",Self-Storage Facility,Self-Storag,"20,296",,,,,,,44.4000015258789,44.4000015258789,139.50,139.50,"901,665.5","901,665.5",,"264,263","901,665.356",,,3.73028665257505,0.183794178782767,N,Compliant,
"21,916",2017,NonResidential,Mixed Use Property,Union Bay Plaza,4540 Union Bay Plaza NE,"Seattle, WA",WA,98105,2436201005,4,NORTHEAST,47.66246,-122.29342,1945,1,2,"22,135",0,"22,135","Medical Office, Non-Refrigerated Warehouse, Office, Retail Store",Medical Off,"10,388",Office,"8,116",Retail Store,"3,200",,,56.7999992370605,55.7000007629395,135.50,134.300003051758,"1,303,594.5","1,277,466.375",,"244,305.796875","833,571.3789375","4,700.22998046875","470,022.998046875",28.4114959646253,1.28355527285409,Y,Not Compliant,
"21,917",2017,NonResidential,Medical Office,Lakeview Medical Building,3216 NE 45th Place,Seattle,WA,98105,2436201055,4,NORTHEAST,47.66183,-122.29264,1967,1,3,"38,378",0,"38,378","Medical Office, Parking",Medical Off,"35,066",Parking,"3,312",,,,88,49.9000015258789,49.2999992370605,92.9000015258789,92.1999969482422,"1,748,912.625","1,727,829",,"199,378.5","680,279.442","10,686.330078125","1,068,633.0078125",59.5694883365005,1.55217802742458,N,Compliant,
"21,920",2017,NonResidential,Warehouse,Bowman Building 9742,4625 Union Way Place,Seattle,WA,98105,2437200015,4,NORTHEAST,47.66294,-122.29521,1980,1,2,"33,576",0,"33,576",Non-Refrigerated Warehouse,Non-Refrige,"33,576",,,,,,55,65.0999984741211,61.5999984741211,80.9000015258789,77.1999969482422,"2,184,510.5","2,068,334.125",,"59,103.5","201,661.142","19,828.490234375","1,982,849.0234375",106.143405490396,3.16128798815809,N,Compliant,
"21,921",2017,NonResidential,Supermarket / Grocery Store,Safeway 0488 - 45th St,3020 NE 45th St,Seattle,WA,98105,2437200030,4,NORTHEAST,47.66205,-122.29545,1975,1,1,"33,005",0,"33,005","Parking, Supermarket/Grocery Store",Supermarket,"34,982",Parking,0,,,,32,293.200012207031,292.399993896484,729.700012207031,728.900024414063,"10,257,042","10,230,203",,"2,069,299.75","7,060,450.747","31,965.900390625","3,196,590.0390625",198.980741854906,6.02880599469493,N,Compliant,
"21,937",2017,Multifamily LR (1-4),Low-Rise Multifamily,Fini Condominium,6801 Greenwood Ave N,Seattle,WA,98103,2539800000,6,NORTHWEST,47.67888,-122.35563,2007,1,4,"67,910",,,Multifamily Housing,Multifamily,"67,910",,,,,,53,30.2999992370605,29.7999992370605,82.0999984741211,81.00,"2,055,909","2,020,922.625",,"479,378.59375","1,635,639.761875","4,202.6904296875","420,269.04296875",29.0873066626646,0.428321405723231,N,Compliant,
"21,940",2017,Multifamily LR (1-4),Low-Rise Multifamily,Fireside Lanai Condominiums,901 5th Ave N,Seattle,WA,98109,2557900000,7,MAGNOLIA / QUEEN ANNE,47.62753,-122.348,1965,1,3,"22,208",0,"22,208",Multifamily Housing,Multifamily,"22,208",,,,,,,28.2000007629395,27.6000003814697,88.5999984741211,86.8000030517578,"626,287.5","613,799.1875",,"183,554.296875","626,287.2609375",,,2.59101782563435,0.116670471255149,N,Compliant,
"21,941",2017,Multifamily HR (10+),High-Rise Multifamily,Ellington,2801 1st Ave,Seattle,WA,98121,2559300000,7,DOWNTOWN,47.61631,-122.35209,2000,1,12,"264,239","29,236","235,003","Food Sales, Multifamily Housing, Parking",Multifamily,"200,837",Parking,"29,236",Food Sales,"3,582",,40,57.0999984741211,56.2000007629395,130.50,128.50,"11,663,716","11,482,288",,"2,024,609.75","6,907,968.467","47,557.4609375","4,755,746.09375",281.156684310502,1.064024176259,N,Compliant,
"21,944",2017,Multifamily HR (10+),High-Rise Multifamily,First Hill Plaza Condominium,1301 Spring Street,Seattle,WA,98104,2560300000,3,EAST,47.61105,-122.32263,1982,1,33,"231,352",0,"231,352",Multifamily Housing,Multifamily,"231,352",,,,,,17,62.2000007629395,60.7000007629395,132.800003051758,130.199996948242,"14,379,275","14,041,624",,"2,191,006.5","7,475,714.178","69,035.6015625","6,903,560.15625",397.575914300738,1.71848920390028,N,Compliant,
"21,945",2017,NonResidential,Other,First Hill Plaza Retail Building,1300 Madison St,Seattle,WA,98104,2560350000,3,EAST,47.61074,-122.32259,1981,1,1,"20,971",,,"Bank Branch, Medical Office, Parking, Retail Store",Parking,"23,483",Retail Store,"10,360",Medical Office,"8,509",,,39.5999984741211,37.4000015258789,124.50,117.300003051758,"869,253.625","819,360.1875",,"254,763.59375","869,253.381875",,,3.59619482609248,0.171484184163487,N,Compliant,
"21,946",2017,Multifamily MR (5-9),Mid-Rise Multifamily,Fischer Studio Building,1519 3rd Avenue,Seattle,WA,98101,2568000000,7,DOWNTOWN,47.61019,-122.33859,1913,1,8,"43,884",0,"43,884","Multifamily Housing, Office",Multifamily,"31,320",Office,"17,925",,,,92,33.2999992370605,32.5999984741211,78.4000015258789,76.3000030517578,"1,640,193.5","1,606,574.375",,"300,181.8125","1,024,220.34425","6,159.7294921875","615,972.94921875",36.9516331664485,0.842029741282666,N,Compliant,
"21,950",2017,Multifamily MR (5-9),Mid-Rise Multifamily,500 ELLIOTT HOMES CONDOMINIUM,500 ELLIOTT AVE W,SEATTLE,WA,98119,2569800000,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.36437,2000,1,5,"45,715",0,"45,715",Multifamily Housing,Multifamily,"42,554",,,,,,78,31.2000007629395,30.7999992370605,98.00,96.8000030517578,"1,327,998.875","1,311,324.25",,"389,214.1875","1,327,998.80775",,,5.49407404223857,0.120180991845971,N,Compliant,
"21,951",2017,Multifamily MR (5-9),Mixed Use Property,507 Northgate,507 NE Northgate Way,Seattle,WA,98125,2569830000,5,NORTH,47.70833,-122.32256,2008,1,5,"614,114","124,061","490,053","Multifamily Housing, Parking, Retail Store",Parking,"124,061",Multifamily Housing,"97,361",Retail Store,"53,849",,,72.5999984741211,72.5999984741211,195.100006103516,195.100006103516,"10,978,112","10,978,112",,"2,520,822","8,601,044.664","23,770.66796875","2,377,066.796875",161.82946535988,0.263516977889902,N,Compliant,
"21,954",2017,Multifamily LR (1-4),Low-Rise Multifamily,ML King Family Housing,3512 S. Juneau St,Seattle,WA,98118,2224049087,2,GREATER DUWAMISH,47.55044,-122.28815,2005,1,4,"32,038",,,Multifamily Housing,Multifamily,"32,038",,,,,,59,37.5999984741211,37.0999984741211,104.800003051758,103.300003051758,"1,204,217.375","1,189,261.875",,"293,322.5","1,000,816.37","2,034.01000976563","203,401.000976563",14.9431122341226,0.46641838548357,N,Compliant,
"21,955",2017,NonResidential,Small- and Mid-Sized Office,Magnolia Center,3214 W McGraw St,Seattle,WA,98199,2225039036,7,MAGNOLIA / QUEEN ANNE,47.63981,-122.39907,1927,1,3,"23,910",0,"23,910","Office, Retail Store",Office,"20,000",Retail Store,"3,910",,,,,39.00,38.50,103.800003051758,103.300003051758,"932,006.6875","921,460.6875",,"210,724.703125","718,992.6870625","2,130.13989257813","213,013.989257813",14.2877231238174,0.597562656788684,Y,Not Compliant,
"21,958",2017,Multifamily HR (10+),High-Rise Multifamily,Elektra Condo HOA,1400 Hubbell Pl,Seattle,WA,98101,2248900000,7,EAST,47.6122,-122.32976,1957,1,16,"151,680",,,"Multifamily Housing, Parking",Multifamily,"151,680",Parking,"18,530",,,,36,78.6999969482422,78.6999969482422,118.699996948242,118.699996948242,"11,934,240","11,941,990",,"767,309.1875","2,618,058.94775","93,161.8125","9,316,181.25",505.613577918955,3.33342285020408,N,Compliant,
"21,964",2017,NonResidential,Worship Facility,(ID21964) BALLARD BAPTIST CHURCH,2004 NW 63RD ST,Seattle,WA,98107,2767601245,6,BALLARD,47.67477,-122.38241,1910,1,2,"21,765",0,"21,765",Worship Facility,Worship Fac,"21,765",,,,,,76,25.3999996185303,24.3999996185303,39.2999992370605,38.0999984741211,"553,009","530,957.875",,"38,561.5","131,571.838","4,214.373046875","421,437.3046875",22.9268621110037,1.05338213236865,N,Compliant,
"22,025",2017,Multifamily LR (1-4),Low-Rise Multifamily,Aros,2251 NW 59th St,Seattle,WA,98107,2767604090,6,BALLARD,47.67144,-122.3868,1977,1,3,"24,032",0,"24,032",Multifamily Housing,Multifamily,"24,032",,,,,,,26.3999996185303,26.1000003814697,82.8000030517578,82.00,"633,439.875","627,253",,"185,650.59375","633,439.825875",,,2.62060875683791,0.109046636020219,N,Compliant,
"22,034",2017,Multifamily LR (1-4),Low-Rise Multifamily,Nelson Manor,2200 NW 58th St,Seattle,WA,98107,2767604145,6,BALLARD,47.67115,-122.38506,1985,1,4,"27,553",,,Multifamily Housing,Multifamily,"27,553",,,,,,60,30.2999992370605,30.00,95.1999969482422,94.1999969482422,"835,479.1875","826,296.5",,"244,864.90625","835,479.060125",,,3.45646682081266,0.125447930200438,N,Compliant,
"22,039",2017,Multifamily MR (5-9),Mid-Rise Multifamily,801 Dexter-True North,801 Dexter Avenue North,Seattle,WA,98109,2249000340,7,MAGNOLIA / QUEEN ANNE,47.62666,-122.34265,2014,1,6,"305,537",0,"305,537","Multifamily Housing, Parking",Multifamily,"240,477",Parking,"69,979",,,"201,720,162,015",91,44.2999992370605,43.7000007629395,95.8000030517578,95.1999969482422,"10,646,047","10,511,080",,"1,663,646.125","5,676,360.5785","49,696.86328125","4,969,686.328125",287.423755726464,0.940716691354777,N,Compliant,
"22,046",2017,Multifamily MR (5-9),Mid-Rise Multifamily,Neptune (8633),912  Dexter Avenue North,Seattle,WA,98109,2249500120,7,MAGNOLIA / QUEEN ANNE,47.6276,-122.3421,2005,1,6,"373,664","113,092","260,572",Multifamily Housing,Multifamily,"180,788",,,,,,95,43.5999984741211,43.5999984741211,70.5999984741211,70.5999984741211,"7,873,497","7,876,398.5",,"630,390.8125","2,150,893.45225","57,226.03125","5,722,603.125",312.825929749501,0.837185090748644,N,Compliant,
"22,058",2017,Multifamily LR (1-4),Low-Rise Multifamily,Rianna I & II,810 12th Ave.,Seattle,WA,98122,2254500715,3,CENTRAL,47.60941,-122.31636,2000,1,4,"209,575","59,804","149,771","Multifamily Housing, Other, Parking",Multifamily,"141,603",Parking,"59,804",Other,"8,168",,38,41.7000007629395,41.7000007629395,125.00,125.00,"6,239,580.5","6,239,580.5",,"1,707,551.5","5,826,165.718","4,134.14013671875","413,414.013671875",46.0598930962427,0.219777612292701,N,Compliant,
"22,062",2017,Campus,University,Entire Campus,901 12th Avenue,Seattle,WA,98122,2254500880,3,EAST,47.61065,-122.31711,1939,1,2,"2,200,000",0,"2,200,000","College/University, Parking",College/Uni,"1,719,643",Parking,"318,960",,,,,68.3000030517578,67.8000030517578,146.00,145.50,"117,501,096","116,608,192",,"17,912,962","61,119,026.344","563,820.6875","56,382,068.75","3,247.30766347441",1.47604893794292,Y,Not Compliant,
"22,066",2017,Multifamily LR (1-4),Low-Rise Multifamily,Helen V,1321 E Union St.,Seattle,WA,98122,2254501275,3,CENTRAL,47.61269,-122.31524,1909,1,3,"24,316",,,"Multifamily Housing, Parking",Multifamily,"24,316",Parking,0,,,,48,55.50,55.0999984741211,124.800003051758,123.400001525879,"1,349,836.25","1,338,901.25",,"226,808.40625","773,870.282125","5,759.65966796875","575,965.966796875",33.7911371699044,1.38966676961278,N,Compliant,
