RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
86,131,2015,NonResidential,Seattle,WA,98115,1941,56521,,131.5,129.8,412.9,407.6,6443260,6361099,0,6443526,0
87,132,2015,NonResidential,Seattle,WA,98115,1929,206934,,37.4,38.8,76.5,76.7,4461969,4625346,0,2118354,2343703
88,136,2015,NonResidential,Seattle,WA,98133,2001,51390,,75.2,75.2,137.5,137.5,3864699,3864699,0,1438855,2425903
89,137,2015,Specialty,Seattle,WA,98133,1963,131013,,29.9,33.1,59.4,62.8,3939221,4362064,0,1770594,2168700
90,138,2015,Specialty,Seattle,WA,98133,1959,245587,,42.5,49.3,77.4,85.7,10444297,12104908,0,3849657,6594800
91,139,2015,NonResidential,Seattle,WA,98133,2002,69138,,46.7,47.1,104.7,106,3298570,3326526,0,1880991,1417657
92,140,2015,Specialty,Seattle,WA,98103,1991,66588,,30.5,33.9,95.9,106.3,2033074,2255184,0,2033159,0
93,144,2015,NonResidential,Seattle,WA,98104,1904,190980,,36.3,36.3,89.9,89.9,6935723,6935723,0,4727785,2208135
94,145,2015,Specialty,Seattle,WA,98111,1998,284100,,74.7,74.9,197.8,190.3,14169301,14212631,3123280,10609812,436649
95,147,2015,NonResidential,Seattle,WA,98107,1954,285333,,209.4,221.3,442.9,450.1,63362516,66980332,0,32311985,31051872
96,148,2015,Specialty,Seattle,WA,98107,1991,55513,,28.1,32,88.4,100.4,1612965,1832205,0,1613032,0
97,163,2015,Specialty,Seattle,WA,98104,2006,61156,,145,153.3,361.9,363.1,10434387,11034854,0,7222692,3211996
98,167,2015,NonResidential,Seattle,WA,98104,1910,72820,,35.8,38,90.2,92.5,2076630,2206050,0,1458801,617890
99,168,2015,NonResidential,Seattle,WA,98109,1996,162222,,68.2,68.2,152.8,152.8,7753080,7753080,0,4415922,3337341
100,169,2015,Specialty,Seattle,WA,98144,1990,289588,,30.2,36,75.9,85.2,8747819,10429328,0,6126773,2621300
101,170,2015,NonResidential,Seattle,WA,98122,1915,63330,,42.5,48.8,104.7,111.4,2755578,3165935,0,1863973,891682
102,172,2015,Specialty,Seattle,WA,98106,1970,441071,,77.5,86.6,189.1,201.9,37430780,41809228,0,24886028,12545788
103,173,2015,NonResidential,Seattle,WA,98115,2002,96300,,167,166.5,472.7,462.9,16238985,16187105,0,13835528,2404032
104,174,2015,Specialty,Seattle,WA,98134,1950,67356,,96.2,112.6,192.5,209.6,6577130,7693941,0,2990732,3586522
105,175,2015,Specialty,Seattle,WA,98122,2008,254523,,53.5,63.1,119.5,129.7,13609040,16067596,0,7719861,5889500
106,176,2015,Specialty,Seattle,WA,98118,2001,78804,,31.1,35.1,76.6,80.8,2447651,2763750,0,1659120,788600
107,177,2015,Specialty,Seattle,WA,98122,2002,66994,,33.8,36.7,90.4,99.2,2266570,2455369,0,1757543,509100
108,178,2015,Specialty,Seattle,WA,98118,2000,98357,,33.2,38.7,76.7,82.5,3265995,3804876,0,1970276,1295800
109,179,2015,NonResidential,Seattle,WA,98118,1958,54765,,85,92.6,240.7,252.4,4316654,4702108,0,3676968,639837
110,180,2015,NonResidential,Seattle,WA,98118,2009,89821,,22.7,26.3,25.3,29.3,2017694,2337736,0,64880,1952816
111,182,2015,NonResidential,Seattle,WA,98119,1980,52611,,83.6,93.7,198.3,208.9,4399828,4930107,0,2782111,1617832
112,183,2015,NonResidential,Seattle,WA,98119,2001,139600,,32.6,37.7,71.5,79.5,4418055,5103262,0,2419334,1998821
113,185,2015,Specialty,Seattle,WA,98125,2011,236758,,34,41.1,78.7,89.1,8050977,9730278,0,4868567,3182614
114,187,2015,NonResidential,Seattle,WA,98122,1971,250981,,64.4,65,161.9,162.5,13901935,14035072,3994742,9449227,458359
115,189,2015,Specialty,Seattle,WA,98117,2002,62526,,29.5,35.7,66.2,75.3,1841968,2234095,0,1056512,785500
116,190,2015,NonResidential,Seattle,WA,98108,2007,64015,,62,66.7,169.6,174.6,3349666,3603241,0,2701378,648399
117,194,2015,NonResidential,Seattle,WA,98125,1951,530039,,54.8,57.5,124.1,124.9,29067292,30468608,0,16867311,12200681
118,195,2015,NonResidential,Seattle,WA,98125,1964,54224,,161.9,176.4,319.7,334.9,7613116,8292959,0,3366679,4246577
119,197,2015,NonResidential,Seattle,WA,98125,1965,124342,,72.4,69.3,226.1,216.2,8835104,8450011,0,8758616,76850
120,198,2015,NonResidential,Seattle,WA,98105,1953,879000,,285.8,290.9,572.9,561.7,251191824,255669168,0,114748139,136448438
121,200,2015,NonResidential,Seattle,WA,98133,1996,55442,,82.9,86.6,188.8,192.7,3091559,3229387,0,1814177,1277457
122,205,2015,Specialty,Seattle,WA,98117,1999,242795,,36,40,102,111.4,8728584,9715644,0,7466694,1262200
123,209,2015,NonResidential,Seattle,WA,98122,1910,84870,,13.3,17.2,24.6,28.7,1136698,1471683,0,433875,702841
124,211,2015,Specialty,Seattle,WA,98103,1970,694072,,55.6,59.2,162.3,169.8,37117212,39513408,0,33183593,3934997
