Total Energy Consumed by the Residential Sector Monthly
https://www.eia.gov/opendata/qb.php?category=711249&sdid=TOTAL.TERCBUS.M
10:09:35 GMT+0100 (GMT 夏令时)
Source: U.S. Energy Information Administration
Month,Series ID: TOTAL.TERCBUS.M Trillion Btu
Aug 1987,1271.368
Jul 1987,1268.777
Jun 1987,1112.209
May 1987,1079.592
Apr 1987,1250.069
Mar 1987,1554.99
Feb 1987,1681.156
Jan 1987,1931.481
Dec 1986,1675.117
Nov 1986,1229.547
Oct 1986,1078.56
Sep 1986,1049.093
Aug 1986,1187.564
Jul 1986,1249.832
Jun 1986,1057.373
May 1986,1057.117
Apr 1986,1180.938
Mar 1986,1539.834
Feb 1986,1684.176
Jan 1986,1981.74
Dec 1985,1795.12
Nov 1985,1180.795
Oct 1985,1055.261
Sep 1985,1064.453
Aug 1985,1156.849
Jul 1985,1149.519
Jun 1985,1035.519
May 1985,1014.664
Apr 1985,1206.396
Mar 1985,1516.21
Feb 1985,1913.52
Jan 1985,1953.435
Dec 1984,1582.196
Nov 1984,1187.911
Oct 1984,1008.054
Sep 1984,1028.098
Aug 1984,1168.674
Jul 1984,1132.58
Jun 1984,1052.346
May 1984,1108.134
Apr 1984,1291.656
Mar 1984,1589.806
Feb 1984,1675.856
Jan 1984,2129.572
Dec 1983,1625.005
Nov 1983,1130.908
Oct 1983,976.307
Sep 1983,1056.284
Aug 1983,1213.98
Jul 1983,1141.32
Jun 1983,978.628
May 1983,1034.261
Apr 1983,1273.99
Mar 1983,1490.168
Feb 1983,1580.016
Jan 1983,1922.144
Dec 1982,1539.935
Nov 1982,1168.342
Oct 1982,1005.641
Sep 1982,1022.053
Aug 1982,1099.316
Jul 1982,1104.857
Jun 1982,968.998
May 1982,1009.215
Apr 1982,1294.481
Mar 1982,1533.826
Feb 1982,1742.925
Jan 1982,2037.891
Dec 1981,1605.626
Nov 1981,1180.761
Oct 1981,1049.961
Sep 1981,951.551
Aug 1981,1086.1
Jul 1981,1125.714
Jun 1981,1011.218
May 1981,996.568
Apr 1981,1108.806
Mar 1981,1440.933
Feb 1981,1683.398
Jan 1981,2014.965
Dec 1980,1670.298
Nov 1980,1226.25
Oct 1980,1043.756
Sep 1980,1041.657
Aug 1980,1168.734
Jul 1980,1163.408
Jun 1980,1003.445
May 1980,1016.289
Apr 1980,1209.233
Mar 1980,1603.835
Feb 1980,1779.042
Jan 1980,1826.947
Dec 1979,1576.952
Nov 1979,1205.234
Oct 1979,1016.045
Sep 1979,973.422
Aug 1979,1087.877
Jul 1979,1038.818
Jun 1979,956.854
May 1979,1030.974
Apr 1979,1240.043
Mar 1979,1608.938
Feb 1979,1987.811
Jan 1979,2087.712
Dec 1978,1692.701
Nov 1978,1223.173
Oct 1978,1050.203
Sep 1978,1037.052
Aug 1978,1118.362
Jul 1978,1091.233
Jun 1978,1006.572
May 1978,1081.209
Apr 1978,1206.671
Mar 1978,1696.087
Feb 1978,1924.551
Jan 1978,2000.053
Dec 1977,1708.154
Nov 1977,1173.632
Oct 1977,1018.153
Sep 1977,974.452
Aug 1977,1065.597
Jul 1977,1084.85
Jun 1977,971.294
May 1977,979.115
Apr 1977,1132.077
Mar 1977,1441.002
Feb 1977,1869.527
Jan 1977,2239.681
Dec 1976,1863.448
Nov 1976,1372.664
Oct 1976,1005.253
Sep 1976,923.155
Aug 1976,1002.932
Jul 1976,1006.965
Jun 1976,964.724
May 1976,1009.166
Apr 1976,1163.868
Mar 1976,1434.389
Feb 1976,1674.363
Jan 1976,1986.659
Dec 1975,1598.15
Nov 1975,1065.259
Oct 1975,954.616
Sep 1975,926.799
Aug 1975,1012.72
Jul 1975,1003.672
Jun 1975,936.766
May 1975,1034.664
Apr 1975,1366.55
Mar 1975,1538.328
Feb 1975,1615.051
Jan 1975,1758.226
Dec 1974,1607.437
Nov 1974,1141.133
Oct 1974,999.326
Sep 1974,919.805
Aug 1974,987.592
Jul 1974,1013.51
Jun 1974,936.124
May 1974,1010.945
Apr 1974,1215.416
Mar 1974,1436.363
Feb 1974,1562.936
Jan 1974,1823.499
Dec 1973,1507.395
Nov 1973,1197.249
Oct 1973,991.668
Sep 1973,956.55
Aug 1973,1018.978
Jul 1973,981.183
Jun 1973,933.663
May 1973,1015.008
Apr 1973,1177.661
Mar 1973,1497.067
Feb 1973,1687.255
Jan 1973,1932.187
